核心原则：**香蕉是后熟型水果，买回来还会继续变熟，所以采购时要按“预计几天卖完”倒推熟度，不要一律要全黄全熟。**

具体可以这样要求：

1. **按销售节奏分批次采购**
   - 如果当天或1—2天内卖完：可以要**3—4级熟**，即果身偏黄、果尖略青、没有黑斑。
   - 如果2—3天卖完：要**2—3级熟**，即整体偏青黄、棱角还比较明显。
   - 如果3—5天卖完：要**1—2级熟**，即青绿色为主、刚开始转黄。
   - 不建议一次全采同一熟度，最好**青黄搭配**，先卖黄的，青的继续催熟。

2. **到货时间要求**
   - 优先要求**清晨到货**，当天上架，避免中午高温或下午到货后闷在车里。
   - 要求**采摘/催熟后尽快冷链或阴凉运输**，不要长时间暴晒、堆压。
   - 如果是本地批发市场，最好要求**当天凌晨新到的货**，不要隔夜货或已经出过黑斑的货。

3. **明确验收标准**
   - 不要有**大面积黑斑、软烂、裂果、酒味、酸味**。
   - 果柄不要发黑腐烂，果指不要明显脱把。
   - 箱内不要有大量水汽，避免闷坏。
   - 同一批熟度尽量一致，方便你统一管理。

4. **采购时可以直接这样说**
   - “我要一批2—3成熟的青黄蕉，今早到货，2天内能卖完；再搭一批4成熟的，今天先卖。”
   - “不要全熟黄蕉，不要隔夜催熟过头的，黑斑多的不要。”
   - “到货要早上，运输别暴晒，箱内别积水。”

5. **到店后的简单管理**
   - 青的放阴凉通风处自然熟，黄的优先陈列。
   - 不要全部堆在一起，按熟度分开。
   - 夏天可适当冷藏延缓过熟，但香蕉怕冷，**不要低于12℃久放**，否则表皮发黑。
   - 已经出黑斑的尽快打折或做果切、奶昔，不要继续等。

一句话：**采购时按“1—2天卖完要黄、3—5天卖完要青”来要求熟度，并要求清晨到货、冷链或阴凉运输、无黑斑无软烂。**
