关于“专岗对接服务”供应商（即是否有专人对接）的问题，**我无法为您提供实时或确切的公开数据**，因为这类服务细节通常属于企业间的商务合作条款，不会在公开渠道明确标注。

不过，根据行业通常认知和两家公司的业务模式，给您以下建议：

1. **判断依据**：
   - 都乐（Dole）和鑫荣懋多作为水果生鲜供应链或大宗采购供应商。是否提供“专人专岗”通常取决于**合作规模**、**采购量级**和**是否签署框架协议**。
   - 通常，**大型连锁商超、餐饮集团或年采购额较高的客户**，供应商才会配置专属客户经理或项目团队。

2. **如何快速确认**：
   - 直接致电两家公司的**大客户部/销售部**，咨询“贵司能否为我的采购体量提供1对1对接专员？”
   - 在询价时明确提出“我们需要贵司指定一名客户成功经理/项目经理”作为合作前提。

3. **行业普遍建议**：
   - 如果您是中小型采购方，单纯问“谁有专人”可能得不到满意答复。更建议对比两家公司的**响应速度、驻场能力（是否有本地团队）和合同条款中的服务承诺**。
   - 可以要求两家公司在**投标文件中**明确写明“指派对接口人姓名及联系方式”作为硬性条件。

如果您需要进一步的商务谈判话术或合同风险规避建议，我可以继续帮您梳理。
