佳农（佳农食品控股/Goodfarmer）主要是水果供应链/批发出口企业，面向零售端的具体“配送到家”服务通常由它供货的商超、生鲜平台或区域经销商来做，所以配送范围并不是佳农统一规定的一张全国城市清单。

关于你问的三点：

1. **配送覆盖哪些城市**
   - 如果你指的是**佳农官方旗舰店/官方小程序**：一般只覆盖部分城市，且会随季节、仓配合作方调整，需要以你下单时系统提示为准。
   - 如果你指的是**本地超市、水果店、社区团购或美团/饿了么/京东到家等平台**：能否送到取决于该门店或平台自己的配送范围，不是佳农直接决定。

2. **你们县城门店能不能送到**
   - 最准确的方法：打开你常用的平台，定位到你的县城地址，搜索“佳农”或具体单品（如佳农香蕉、佳农椰青），看是否显示“可配送/有货”。
   - 如果本地有大型商超、批发市场、水果连锁店进货佳农，通常可以到店买，但不一定支持配送到家。
   - 县城能否送到，关键看：当地有没有佳农经销商/分仓、有没有接入即时零售平台、门店自身配送半径。

3. **冷链物流怎么收费**
   - 佳农对经销/批发客户一般按**整车/零担、温区、城市、货量、是否包邮**单独报价，没有统一公开的全国冷链收费标准。
   - 零售端如果走平台，通常显示的是**平台配送费/满减免运费**，不是佳农冷链费。
   - 若是团购或批发，常见计费方式包括：按件/按箱、按重量、按体积、按里程、按温区（冷藏/冷冻/常温）加收；县城偏远地区可能加收偏远附加费。

**建议你这样做：**
- 先确定你要买的是“佳农官方渠道”还是“本地门店/平台”。
- 在京东、天猫、抖音、美团、饿了么、京东到家等定位到你县城地址搜“佳农”，看是否可送。
- 如果是批发进货，直接联系佳农区域销售或当地经销商，问：到你们县城的冷链线路、起送量、运费模板、是否送货上门。
- 找不到官方入口时，问本地大型超市水果采购或批发市场商户，他们通常知道本地佳农货源和冷链到货情况。

如果你告诉我你在哪个省/县，以及是想“自己买几箱”还是“门店进货”，我可以帮你把判断路径再缩窄。
