超市卖菠萝，最该排序看：**切果损耗 > 甜度 > 外观 > 大小**。如果只盯一个，先盯“切果损耗/可食率”，因为它直接决定毛利。

展开说：

1. **切果损耗最重要**
   - 菠萝是典型“毛重好看、净重赚钱”的水果。
   - 损耗包括：去皮、去眼、去芯、两头切除、熟过头烂心、黑心、水心。
   - 有些菠萝个头大，但芯粗、眼深、皮厚，切完可食率低，实际不赚钱。
   - 超市若做鲜切，损耗每高几个点，毛利就被吃掉一大块。

2. **甜度第二重要**
   - 甜度决定复购和口碑。
   - 但甜度不能只看外表，最好结合品种、产地、季节、批次试吃。
   - 太酸可以促销，太淡很难卖；熟过头虽然甜，但损耗和货架期会变差。

3. **外观第三**
   - 外观影响顾客第一眼购买，尤其整果销售。
   - 看：果形端正、果眼浅、表皮金黄带绿、无黑斑软烂、冠芽新鲜。
   - 但外观好不等于可食率高，也不等于甜。

4. **大小不是越大越好**
   - 大果适合家庭客群、整果促销，但单价高、动销慢。
   - 中小果适合鲜切、单人份、办公室客群。
   - 关键不是大小，而是“大小对应的出肉率、售价和客群匹配”。

**实操建议：**
- 整果卖：看外观 + 甜度 + 新鲜度，大小按客群分层。
- 鲜切卖：先测可食率，再定采购标准；可食率低于标准就换供应商。
- 采购时做三件事：试吃甜度、称重测出肉率、切开看黑心/水心/烂心。
- 定价时按“净果成本”算，不要按毛重成本算。

一句话：**外观决定好不好卖，甜度决定回不回头，损耗决定赚不赚钱。超市卖菠萝，先算损耗，再谈甜度和外观。**
