关于佳农水果的配送时效，目前没有官方统一的标准，因为实际到货时间会受**下单渠道**（如京东、天猫旗舰店、微信小程序、线下商超等）、**收货地址**、**库存状态**和**天气物流**影响。

不过，根据常规电商生鲜配送规则，可以给你以下可参考的判断方向：

1. **主流电商平台（京东/天猫旗舰店）**：
   - 通常为**当日（16点前）下单，次日送达**，部分大中城市可实现隔日达。
   - 具体以结算页显示的“预计送达时间”为准，这个时间点最准确。

2. **佳农微信小程序或官方商城**：
   - 一般发货后，同城或邻近城市需要1-2天，偏远地区可能需要3-5天（因水果属生鲜，通常走顺丰或京东冷链）。

3. **购买前必看**：
   - **下单前请务必查看商品详情页或购物车结算页的“配送说明”**，会明确写出发货地和送达时效承诺。
   - 若页面标注“预售”或“产地直发”，时效会延长，需耐心等待。

4. **建议操作**：
   - 如果你现在下单，可以**直接联系客服**，输入订单号后，客服能给出更精确的送达时间。
   - 收货时间高峰期为上午9-12点及下午3-6点，若你不在家，建议选择“改约时间”或放快递柜。

如果你能告诉我你的**具体城市**和**购买渠道**，我可以帮你进一步判断大概时长为多少天。但最稳妥的方式，还是结合结算页的预估时间下单。
