针对商超会员日水果活动的供应商配合准备，核心分为**货源与品控**、**物流与配送**、**现场与人员**、**数据与售后**四个板块。以下是具体可执行清单：

### 一、货源与品控准备（提前3-7天）

1. **锁货与排产**：根据商超预估销量（可结合上周会员日或去年同期数据），提前向产地/基地下锁定订单，**避免会员日当天缺货**。
2. **分级与包装升级**：
   - 提前完成二次分拣，淘汰次果、烂果，确保供应果径、甜度、新鲜度一致。
   - 针对活动主推款（如车厘子、榴莲），建议做**独立小包装（如3斤装、5斤装）**，方便顾客拿取，减少损耗。
3. **赠品/试吃品准备**：供应商需预配**试吃品（约总货量的5%-10%）**，并准备切盒、剥皮等预加工半成品。

### 二、物流与配送（提前1-2天）

1. **分批到货计划**：建议分两批到货——**活动前夜首到**（铺满陈列），**活动当天上午二次补货**（应对下午高峰），避免一次性到货造成冷库积压。
2. **冷链温控承诺**：确保全程冷链（如香蕉12-14℃，草莓0-4℃），到店时提供**到货温度记录单**。
3. **应急补货机制**：向商超明确**缺货紧急响应时间**（如2小时内可补发就近库存），并提供备用供应商联系人。

### 三、现场与人员支持（活动当天）

1. **驻场促销员（1-3人）**：活动日需派专人到店，负责：
   - **试吃引导**（现场切果、品尝推荐）；
   - **理货补货**（保持陈列丰满，清理空箱）；
   - **现场答疑**（如产地、糖度、保存方法）。
2. **陈列道具配合**：自带活动专属展架、价签卡、爆炸贴（如“会员专享价”“爆款直降”），突出活动氛围。
3. **损耗管控预案**：准备免费“瑕疵果切片盒”或“特价处理篮”，把活动中的挤压伤、表皮花斑果及时做切块低价处理，**避免整箱丢弃**。

### 四、数据与售后闭环

1. **活动数据复盘表**：活动结束后24小时内，向商超提供以下数据：
   - 实销数量、品类占比、滞销单品；
   - 损耗量与损耗率（控制在3%-5%为佳）；
   - 顾客退换货记录及原因。
2. **售后快速响应**：明确指定售后对接人，针对腐烂、重量不足等问题，承诺**“当天反馈、次日换补”**。
3. **预告下次活动**：根据本次销售数据，为商超提供下期会员日的水果组合建议（如本次西瓜滞销，下次改为哈密瓜+葡萄套餐）。

---

**特别提示**：供应商需提前与商超采购确认**活动价差额承担方式**（通常是商超贴补毛利，供应商负责正常供货价），以及**会员券/满减是否包含在供货价内**，避免结算争议。

如果供应商为首次合作，建议提前一周做一次**模拟活动推演**（按时间表过一遍到货、陈列、试吃流程），能有效减少当天突发问题。
