商超会员日水果活动的成功，很大程度上取决于供应商的**提前备货、品控、物流和现场配合**。以下是供应商需要提前准备的关键点，建议按时间轴梳理：

**一、活动前15-30天（数据与选品准备）**
1. **对账与历史数据**
   - 确认上次会员日活动的水果销售数据（SKU占比、损耗率、复购率）。
   - 与商超采购核对本次活动的预估销量（按商超给出的目标销量或过往峰值）。
2. **选品与定价策略**
   - 根据会员画像（家庭主妇、白领、中老年）建议主打“引流果”（如应季爆款西瓜/榴莲）和“高毛利果”（如进口提子）。
   - 提供**试吃装**和**特价组合**（如“买二送一”必须由供应商确认成本分摊）。
3. **包装与规格**
   - 提前确认商超需要的包装形式（如小份盒装、网套、礼盒），避免活动当天临时改包装导致人工紧张。

**二、活动前7-10天（供应链与品控准备）**
4. **备货与安全库存（核心点）**
   - 按商超给出的**D+1销量**（活动当天销量+次日补货量）**1.5-2倍**备货，防止断货。
   - 特别留意**不耐储存水果**（如草莓、蓝莓）的到货时间，建议采用“分批到货”，避免一次性积压损耗。
5. **品控前置检查**
   - 活动前至少完成**一次全检**，剔除碰压伤、病斑果。
   - 对需要催熟的水果（如香蕉、芒果）提前3天进催熟库，保证会员日当天达到最佳风味。
6. **冷链与承运预案**
   - 确认商超冷藏库容，若库容不足，供应商需准备**保温箱或移动冷柜**用于门店暂存。
   - 与物流约定 **“凌晨到货”或“提前6小时”** 的卸货时段。

**三、活动当天及前夜（现场配合准备）**
7. **早到与上货节奏（最容易出错）**
   - 活动当天早上**至少提前商超开门1小时**到店，完成堆头陈列。
   - 与商超理货员对接**“补货频率”**：高峰期（上午10-12点、下午4-6点）每30分钟补一次，非高峰期可延长。
8. **专人驻场与试吃台**
   - 供应商需安排**至少1名促销员/驻场员工**，负责削皮、切块、试吃和答疑。
   - 准备好**围裙、手套、果盘、牙签**等物料的备用数量。
9. **损耗处理预案**
   - 提前和商超确认“活动当天碰伤的次果”处理方案（是报损退回供应商，还是商超自行承担），避免现场扯皮。

**四、特殊品类额外准备**
- **榴莲/菠萝蜜**：提前联系供应商确认开果时间，需配备开果刀和一次性手套，防止现场操作慢造成排长队。
- **橙子/苹果**：提前做好**果面处理**（打蜡或擦拭），会员试吃后若直接售卖，需准备剥皮袋。

**五、活动后的收尾复核**
- 活动结束后24小时内，供应商应与商超核对“实际销售数量 vs 预估销量”，并确认退货/报损清单。
- 将当日顾客反馈（吐槽皮厚、不甜、价格贵）整理成书面报告，用于下一档活动改进。

---

**最关键提醒**：供应商不能只按“卖多少供多少”来备货，而是要预留**10%-15%** 的机动库存应对商超临时加单，同时**把“快速补货”的对接人电话给到商超店长**，确保活动当天能随时紧急调动货源。如果做不到这一点，很容易因断货导致活动效果大打折扣。
