针对生鲜电商销售菠萝，我建议优先考虑 **切配菠萝**，其次是**冷冻原料**，最后是**整果**。以下是具体分析：

1. **切配菠萝**（首选）  
   - **优势**：直接满足消费者“即食”需求，减少处理菠萝的麻烦（削皮、去眼等）。线上复购率高，客单价通常高于整果。  
   - **操作建议**：销售去皮切块的盒装或袋装菠萝，标注“冰鲜”或“现切”。需严格把控冷链配送（0-4℃），确保2-3天保质期，防止汁液渗出或变质。  
   - **风险**：对加工和包装要求高，需注意卫生和成本，避免因包装破损导致售后问题。

2. **冷冻原料**（次选）  
   - **优势**：适合长期存储，减少损耗风险。可用于制作冰沙、烘焙、饮品等，适合偏好DIY食用场景的用户。  
   - **操作建议**：销售速冻菠萝块或菠萝颗粒，标注“冷冻保质期6-12个月”。适合在“家庭基础食材”或“特色商品”分类中销售。  
   - **风险**：用户认知度较低，需强调用途（例如“可直接打汁”“搭配酸奶”），避免被误认为烂果。

3. **整果**（不推荐）  
   - **劣势**：易因运输磕碰导致损耗（如撞伤、发酵变味），用户需自行削皮且可能因切法不当浪费果肉。生鲜电商中整果的复购率通常较低。  
   - **例外**：若平台主销高端品种（如香水菠萝、金钻菠萝），且提供“坏果包赔”服务，可尝试小批量试售，但需注意包装防震（如网套+泡沫箱）。

**综合建议**：  
- 若平台已有切配加工能力（如净菜生产线），优先上线**切配菠萝**，搭配“当日达”或“次日达”标签。  
- 若平台主营冷冻品（如冰淇淋、冻肉），可上线**冷冻菠萝块**，作为“烘焙/饮品食材”推广。  
- 若供应链成熟（如产地直发），可保留少量**整果**作为引流款，但需标明“需要工具处理”并附削皮指南。  

**执行提示**：无论选择哪类，建议在商品详情页明确标注“保质期”“储存方式”及“食用建议”（如切配菠萝需冷藏、冷冻原料按需解冻），减少用户疑虑。
