目前我无法核验“都乐”和“鑫荣懋”是否提供专岗对接服务，也不能凭印象给出确定结论，否则容易误导你。

建议你直接按下面方式确认，最快且可留痕：

1. **问供应商销售/客服的标准话术**
   - “你们是否有专岗对接人？是销售、客服还是项目制对接？”
   - “下单后是否有固定对接人，还是每次随机分配？”
   - “对接人是否负责订单、售后、对账、异常处理全流程？”
   - “能否在合同或合作确认单里写明对接人姓名、职责和响应时效？”

2. **要求提供书面承诺**
   - 专岗对接人姓名/岗位
   - 服务范围：下单、物流、售后、对账、投诉
   - 响应时间：如2小时/4小时/24小时
   - 备用对接人
   - 人员变动时如何交接

3. **做一次小单测试**
   - 先下小批量订单，观察是否始终由同一人跟进。
   - 故意提一个售后或异常问题，看响应速度和是否推诿。

4. **如果对方只给“我们会安排专人服务”**
   - 这通常不够，要求写进合同或邮件确认。
   - 否则实际执行中很可能变成“谁在线谁回”。

如果你能提供这两家的具体合作渠道（比如都乐是直营还是经销商、鑫荣懋是哪个区域/事业部），我可以帮你进一步判断该找哪个入口问，以及怎么问更能拿到明确答复。
