在超市水果采购中，因到货品相问题（如腐烂、机械损伤、色泽差异等）属于常见售后争议。建议在采购合同或供货协议中明确以下条款以降低纠纷风险：

**【品相验收标准与售后流程建议】**

1. **明确验收时间与异议期**  
   - 约定货到后**2小时至12小时内**为外观验收期（视水果易损耗程度调整），超时未提出品相问题的，视为默认合格。

2. **设定抽样检测规则**  
   - 约定按来货总量的**5%-10%**（或至少整箱）进行随机开箱检查，若品相不合格比例超过**5%**，则整批次按不合格处理。

3. **分级处理方案**  
   - **轻微瑕疵**（如单果小面积压痕、轻微色差）：可协商按**7-8折结算**，作为特价或员工福利处理。  
   - **严重问题**（霉变、大面积腐烂、虫蛀）：供应商须在**24小时内**补发同等级等价果品，或按该批次**货值的1.5-2倍**现金赔付（含物流损耗）。

4. **处置权限规定**  
   - 明确超市方有权当场销毁**严重腐烂、有食品安全风险**的果品，无需等待供应商确认，但需保留**全程录像**或**三方见证签字**（采购员+仓库+店长）。

5. **证据留存要求**  
   - 要求供应商在发货前提供**装车全貌照片**（每托盘至少1张）、**标准品对照样图**。到货后超市方须在**1小时内**拍摄问题批次视频及细节照片，上传至指定共享文件夹。

6. **争议快速裁决机制**  
   - 约定若双方对品相等级存在分歧，可邀请**当地果品行业协会**或**第三方检测机构**（如SGS、华测）在**24小时内**出具鉴定意见，鉴定费由判定违约方承担。

**【避免漏洞的注意事项】**
- 避免使用“新鲜”“无瑕疵”等模糊用语，应细化到具体指标（如腐烂面积不超过豆粒大小、单果允许1处擦伤等）。
- 若为长期合作，可约定累计**3次以上品相不合格**，超市方有权单方面终止合同并追究违约责任。
- 对特殊易损水果（如草莓、荔枝、枇杷），建议另行制定**独立冷链到货标准**（如开箱温度、触感硬度要求）。

如需进一步细化条款模板，可告知具体合作模式（如产地直采/批发市场代采、月结金额），我可协助提供针对性建议。
