关于您提到的**都乐（Dole）**和**洪九果品**是否有散装香蕉小包装供应，**以下是基于行业常见做法的信息，供您参考**（具体以直接联系供应商确认为准）：

1. **都乐（Dole）**：
   - 都乐是国际知名品牌，通常以整箱、整托的大宗批发为主，其标准产品多为带标贴的整箱香蕉（约18-20kg/箱）。**在常规货架上，都乐极少提供“散装”小包装**，除非您直接与大区销售或指定生鲜供应链平台洽谈定制。
   - 建议：若您需要“小包装（比如1-2斤装）”，可联系都乐中国区餐饮或社区团购渠道负责人，询问是否可定制（例如提供果柄切割、单根贴标等增值服务），但通常起订量要求较高。

2. **洪九果品**：
   - 洪九果品是头部水果供应链企业，其服务模式更灵活，支持**社区团购定制化**。他们通常能提供：
     - **散装/裸果**（按公斤计价，无品牌包装）；
     - **简易小包装**（如5斤/10斤透明袋或纸箱装）；
     - 甚至可按您要求分拣成**1-2斤的小份**（需提前预约产能）。
   - 建议：直接联系洪九在您所在城市的区域负责人，说明您是小体量社区团购，询问是否有“散装散称”或“小包装”选项，并确认最低起订量。

**执行建议**：
- 第一步：在百度或微信搜索“都乐 社区团购 合作”或“洪九果品 社区团购 批发”，找到官方招商入口。
- 第二步：电话沟通时直接问题：“我们社区团购，每周需约200-500斤香蕉，能否供应散装/小包装，最低起订量是多少？”。
- 如果两家都不适合，可同时咨询本地水果批发市场（如江南市场、嘉兴市场等），散装小包装是标配，价格也可能更低。

> 提醒：社区团购生鲜损耗高，小包装建议选择催熟度适中（果皮微黄但果肉偏硬）的香蕉，运输中预留2-3天货架期。
