佳农（佳农食品控股/佳农水果）主要做香蕉、菠萝、椰青、车厘子等生鲜品类，渠道分线上电商（京东、天猫、抖音等）和线下商超。售后体验**很大程度取决于你在哪个渠道买的**，不是统一的。

## 基本处理逻辑

**线上电商渠道**（京东自营、天猫旗舰店、抖音旗舰店等）：
- 一般支持"坏果包赔"，收到货后发现腐烂、发霉、压坏，拍照上传即可申请理赔
- 京东自营通常时效最快，可直接在订单里申请售后，审核通过后退款或补发
- 天猫/抖音旗舰店需要联系客服，按要求提供坏果照片（通常要求切开或和包装一起拍）

**线下商超/水果店**：
- 走的是商超自己的售后，不是佳农直接负责，凭小票找门店处理

## 到货有坏果，建议这样做

1. **先拍照留存**：坏果和快递面单/包装一起拍，最好能看出数量和比例，这是理赔依据
2. **尽快申请**：生鲜类售后有时效（常见24-48小时内），别放几天再提
3. **走订单售后入口**：优先在购买平台点"申请售后/退款"，比只找客服聊天更有效
4. **按比例赔还是全赔**：通常按坏果比例赔付，坏得多可能整单退；少量坏果可能只补差价或部分退款
5. **沟通不顺就升级**：平台客服不解决，找平台官方介入（如京东客服、淘宝小二）

## 需要注意的坑

- **不同店铺售后政策不一样**：佳农官方旗舰店和第三方经销商店，赔付力度差别较大
- **"坏果包赔"常有条件**：比如要求签收后一定时间内、要求提供完整照片，不满足可能被拒
- **生鲜一般不接受无理由退货**，只能走"质量问题"理赔

**最稳妥的做法**：买之前先看该店铺的售后评价和"坏果包赔"具体规则，出问题第一时间拍照+走平台售后入口，而不是只跟客服口头沟通。

如果你告诉我具体是在哪个平台/店铺买的，我可以给更针对性的处理步骤。
