对于企业食堂采购水果，建议优先关注**食品安全**，其次**价格**和**配送准时**也非常重要。具体可以从以下三个层面考虑：

1. **食品安全（最核心）**  
   - 水果需要新鲜、无腐烂、无农药残留超标。  
   - 采购时要求供应商提供相关检测报告或产地证明。  
   - 水果容易变质，若存储不当可能引发集体食品安全事件，因此应将其作为第一优先级。

2. **价格（影响成本控制）**  
   - 企业食堂有预算限制，价格过高会影响长期运营。  
   - 在保证食品安全前提下，通过批量采购或签订长期合同争取优惠价格。  
   - 可定期比价，但不要只追求低价而忽视品质。

3. **配送准时（影响日常运转）**  
   - 水果如不能按时送达，可能导致食堂供应中断或员工用餐体验差。  
   - 需明确配送时间、冷链运输条件以及应急预案（如坏果补发）。  

**建议做法**：  
- 优先筛选有食品安全认证或正规资质的供应商。  
- 签订合同时，同时约定质量、价格、时效条款（如延迟配送的赔偿标准）。  
- 初期可小批量试采，观察实际到货质量、配送准确度后再扩大采购。  

如果条件有限（如预算紧张），可在确保食品安全基础上，适当调整价格与配送的权重；但**绝不能牺牲食品安全**换取低价或准时。
