要核实水果供应商的“全国配送”能力是否属实，建议从以下四个方面进行交叉验证：

1. **要求提供具体覆盖城市清单（精确到地级市）**  
   请对方提供**按省份分类的可配送城市/区县列表**，而非笼统说“全国”。  
   - 核对对方官网、宣传册或配送系统中的城市清单与口头承诺是否一致。  
   - 重点关注偏远地区（如西藏、新疆、青海、内蒙古等）是否在列。  

2. **索取近期配送单证与物流记录**  
   要求对方提供**3-5个不同区域（东、西、南、北、中）的实际发货案例**，包括：  
   - 物流单号（可查轨迹）  
   - 发货地与目的地之间的距离  
   - 实际到达天数（是否包含偏远地区）  
   - 货物状况（如冷链是否正常）  

3. **进行“一单试配送”测试（低风险验证）**  
   - 采购价值较低、易运输的常规水果（如苹果、橙子），**指定一个中等距离城市**（非供应商所在省份、但非偏远）下单一箱。  
   - 观察物流时效、包装状况、损耗程度。  
   - 若计划大批量采购，可再测试一个**偏远省份（如黑龙江、新疆）的省会城市**，检验其末端配送能力。  

4. **查询合作物流公司资质与网络覆盖**  
   - 要求供应商明确告知其合作的主要物流公司（如顺丰、京东、跨越、德邦等）。  
   - 自行登录该物流公司的官网，查询其“服务范围”或“可到区域”，核对是否涵盖供应商声称的所有城市。  
   - 若对方声称自有车队配送，可要求其提供车辆注册信息、司机联系方式及过往配送线路证明（如GPS轨迹截图）。  

**关键提示**：  
- 避免仅凭口头承诺或宣传资料判断。  
- 对“部分偏远地区+1~2天可达”或“任何订单满一定金额包邮”等模糊表述保持警惕。  
- 大额采购前，务必通过合同条款明确配送范围、时效、赔付规则（如无法配送需提前告知）。
