商超做会员日水果活动时，供应商需要提前从以下几方面做好配合准备：

1. **库存与供应保障**
   - 提前与商超确认活动期间的主推水果品类、预估销量，备足货源，避免断货。
   - 协调产地或仓库，预留充足的优质果品，确保活动期间有货可发。
   - 提供应急补货方案（如24小时内补货响应）。

2. **品质与包装优化**
   - 配合活动需求，对水果进行分拣、分级，确保外观、口感、新鲜度达标。
   - 提供适合会员活动的包装方式，如小包装（适合家庭）、试吃装或礼盒装，提升吸引力。
   - 提前检查包装标识，确保采摘日期、产地等信息准确，必要时增加“会员日专供”标签。

3. **价格与促销政策**
   - 提供明确的会员日折扣价格，或支持“满减券”“第二件半价”等促销形式。
   - 准备额外的促销支持，如赠品（果切、果汁包）、满额赠送小份水果。
   - 与商超协调，保证线上（APP/小程序）与线下价格和促销一致性。

4. **人员与现场支持**
   - 安排导购或促销人员，负责现场介绍、剥切试吃（需提前确认卫生许可证）。
   - 提供现场称重、打包、补货的辅助人员，避免排队。
   - 准备好刀、砧板、一次性手套、托盘等工具，并提前消毒。

5. **宣传与陈列配合**
   - 提供高质量的水果实物图、产地宣传素材（海报、视频），供商超用于线上线下推广。
   - 配合商超制作端头堆头（如中心主通道）、特殊陈列架，突出“会员日优惠”标识。
   - 提前协助现场陈列布置，确保果品摆放整齐、显眼，并准备带有折价牌的灯箱或价签。

6. **流程与应急准备**
   - 提前检查冷链运输、仓储环节，确保到货水果温度、成熟度合适。
   - 准备备用货源，以防出现质量问题（如途中挤压、变质）。
   - 与商超建立沟通渠道，活动期间及时反馈销售数据，调整补货节奏。

7. **合规与资质**
   - 保证所有提供的检验检疫报告、供应商资质、商品条码等资料齐全并提前提交给商超。
   - 遵循当地食品安全规定，尤其是试吃环节的卫生要求。

建议在活动开始前至少1周与商超采购、运营团队召开协调会，确认各项细节。如果商超有固定操作流程（如配送时间、验收标准），务必严格执行。
