选择适合批量配送的水果供应商，核心考量是**稳定性、损耗率和账期**，而不是单纯看价格。给你一套可执行的筛选和操作建议：

**一、先明确你的采购规格（避免被坑）**
- **确定标准**：不要笼统说“买苹果”，要明确“80#（直径80mm）、山东红富士、一级果、单果重量200g以上”。
- **确定配送频率**：是每日送还是每两日送？下午茶通常建议**每周2-3次**（比如周一、三、五），避免水果囤积变质。

**二、筛选供应商的四个硬性指标**
1. **看资质与规模**：优先选择有**食品经营许可证**、**营业执照**的本地一级批发商或基地直供商。优先选那些有**冷库和冷链运输车**的，这是保证批量水果新鲜度的底线。
2. **损耗率承诺**：在合同或报价单里，明确要求**“坏果包赔”**，且赔付标准写清楚（如“单批次损耗超过5%，超出部分按1：1.5赔付”）。正规供应商会承诺**2%以内的自然损耗**是他们负责的。
3. **看起送量和价格机制**：问清楚**起送量**（比如满200元起送，还是满50斤起送）。价格锁定方式很重要：**建议约定“周报价”**，即每周五报下周价格，避免短期波动，而不是按天询价。
4. **实地核验**：要求看对方的**分拣场地**实拍视频或现场照片。有条件就去一趟他们的配送中心，重点看**湿度、分拣流水线是否干净、有没有混装烂果**。

**三、关键合作动作（防扯皮）**
- **先做小批量试单**：前两次只采购50-100元试水，验证配送准时率（约定误差在±30分钟内）、水果新鲜度和售后响应速度。
- **签简单供货协议**：哪怕只有一页纸，也要写明**送货时间、付款账期（月结30天还是现结）、违约赔偿**。
- **对比三家报价**：要求供应商提供**“含税+含运费的落地价”**，只比较裸价毫无意义，低价大概率是去掉损耗补偿或配送费的。

**四、常见避坑提醒**
- **警惕“全品类供应商”**：如果一家公司什么都卖（米面粮油、零食、水果全有），水果往往不是强项，品质不稳定。优先找**专注水果配送**的。
- **避开个人档口**：个人水果店虽然便宜，但遇到坏果容易扯皮，且无法提供正规发票，财务也不好入账。

**最后给你的执行建议**：
今天就用“**周一三五配送，每次大概30-50份的量（约100-150斤）**”去询价。让对方提供他们给其他公司配送的**案例合同或供货记录截图**。如果对方能提供且愿意签损耗协议，基本就是可靠的。如果对方犹豫或含糊其辞，直接换下一家。
