关于水果店卖菠萝，**最佳策略是“整果为主，去皮为辅，并坚决避免让顾客自己挑切”**。具体建议如下：

**1. 绝对不要让顾客自己挑切（即卖带皮生果让顾客回家切）**
- **效率极低**：顾客在店里挑半天，最后买一个回去，客单价低。
- **售后问题多**：顾客自己切不好，容易浪费（尤其是不会处理“眼”），回头会说是你水果不新鲜。
- **体验差**：现在都市消费者大多不会或不愿处理菠萝。

**2. 核心组合：整果 + 去皮果（按需提供）**

- **整果（带皮）**：占总货量60%-70%。
  - **适用客户**：老客户、家庭客（习惯自己处理）、送礼需求（整果更有“完整感”）。
  - **优点**：损耗低（皮不损耗），毛利高，可以保持水果新鲜度。
- **去皮果（现场削皮或预包好的）**：占总货量30%-40%。
  - **适用客户**：上班族、单身顾客、不想自己动手的客人。
  - **定价**：去皮后必须加价（比如整果10元/斤，去皮12-15元/斤），因为去皮的损耗和人工要算进去。
  - **关键**：必须**彻底去眼**，处理得干净、切块装盒，做好密封保鲜。

**3. 补充一个小建议（可大幅提升销量）**
- 在显眼处放一个“**试吃盒**”，每天切一个去皮菠萝，切成小块，插上牙签。顾客试吃到甜，就会直接买“切好的盒装”或“现场去皮”。
- 每天固定时间点（如上午10点、下午3点）处理当天卖不掉的全熟果，直接去皮切盒降价促销，避免损耗。

**结论**：**以卖整果为主，同时提供“现场/提前去皮果”作为增值服务，但绝不承担顾客自己切的麻烦。** 这样既保证利润，又满足不同人群需求，还能减少售后纠纷。
