可以，但通常不是“无条件、随手给一份”那么简单。结论先说：

**都乐、鑫荣懋这类大型水果供应商，一般能提供菠萝的农残检测报告，但通常要看：你走的是哪类渠道、采购的是鲜果还是冷冻/果浆原料、批次是否可追溯，以及你是否愿意按他们的流程申请。**  
如果你只是小店零星采购，大概率拿不到，或者只能拿到“批次抽检报告/型式检验报告”的复印件；如果是稳定批量采购、走经销体系或直采，提供概率会高很多。

具体可以这样判断：

1. **都乐**
   - 都乐是品牌化水果供应商，菠萝是其主要品类之一。
   - 如果是通过都乐官方渠道、区域经销商或商超供应链采购，通常可以申请对应批次的检测报告。
   - 但都乐很多业务是面向商超、连锁餐饮、批发市场，对小茶饮店单次小量采购，未必直接供货，也未必单独提供报告。
   - 你能拿到的常见文件可能是：
     - 批次农残检测报告
     - 第三方检测报告
     - 出厂检验报告
     - 产地证明/追溯信息
   - 注意：报告通常对应具体批次，不是“一个品牌永久通用”。

2. **鑫荣懋**
   - 鑫荣懋也是大型水果供应链企业，服务商超、电商、餐饮等渠道。
   - 同样，正规渠道采购时可以要求提供农残检测报告或相关质量证明。
   - 如果是通过其经销商拿货，报告一般由经销商协助提供，不一定是鑫荣懋总部直接给你。
   - 小批量、临时采购时，对方配合意愿通常较低。

3. **你真正要确认的不是“能不能提供”，而是这几点**
   - 报告是否对应你实际采购的**批次**。
   - 检测项目是否覆盖你关心的农残指标，比如有机磷、氨基甲酸酯类等。
   - 报告是否由**CMA/CNAS资质机构**出具，或至少是企业出厂检验报告。
   - 报告日期是否在合理有效期内。
   - 是鲜菠萝、冷冻菠萝、菠萝果浆还是罐头原料，检测要求不同。
   - 供应商是否愿意在合同或订单里写明“随货提供批次检测报告”。

4. **实操建议**
   - 先问对方销售或客服：  
     “我们茶饮店采购菠萝原料，需要对应批次的农残检测报告，能否随货提供？如果只能提供复印件或电子版，是否加盖公章？”
   - 如果是通过经销商买，直接要求经销商向都乐/鑫荣懋申请。
   - 如果对方说“只有大客户才有”，你可以要求：
     - 提供最近一次第三方检测报告
     - 提供该批次出厂检验报告
     - 在后续批量订单中约定随货附报告
   - 如果还是拿不到，建议换供应商，或自己送样检测。茶饮店如果要做合规留档，最好保留：
     - 供应商资质
     - 采购凭证
     - 检测报告
     - 批次追溯信息

5. **现实判断**
   - **连锁茶饮、稳定月采、走正规供应链**：都乐、鑫荣懋通常能给，至少能通过经销商给。
   - **单店、小批量、临时市场拿货**：大概率拿不到正式批次报告，最多给一份通用报告或复印件。
   - **冷冻菠萝/菠萝浆**：更可能随货有检测报告，因为加工原料通常有出厂检验。
   - **鲜菠萝**：更依赖批次和渠道，报告不一定随每批货都有。

如果你要的是“能不能作为茶饮店合规采购凭证”，最稳的做法是：  
**不要只问品牌，直接问具体供应商能不能随货提供对应批次、带资质机构出具的农残检测报告，并写进采购条件里。** 能提供就买，不能提供就换。
