在超市选购菠萝（供自食或经营），关注顺序建议为：**甜度（成熟度） > 外观 > 切果损耗 > 大小**。

具体原因和实操建议如下：

1. **甜度（成熟度）——最核心的品质指标**
   - 菠萝是后熟型水果，但甜度主要由采摘时的成熟度决定。
   - **如何判断**：闻底部（果脐）香气，有浓郁果香的一般更甜；按压果皮，微软有弹性比硬邦邦的成熟度高；看果眼（鳞片）是否饱满、颜色金黄（青绿说明未熟）。
   - **经营建议**：如果是超市进货，最好选择当天到货、果皮带黄且香气明显的批次。如果全是青皮，说明采购过早，甜度大概率不足，会影响口碑。

2. **外观——影响“卖相”和损耗率**
   - **看果柄**：果柄湿润不发黑、不干瘪，说明新鲜度高。
   - **看果眼**：果眼裂缝处无发霉、无黑斑（霉斑会迅速腐烂）。
   - **看整体**：无机械损伤（碰撞痕易引发内部发酵变质）。
   - **提醒**：外观好的菠萝保存期更长，适合货架陈列。

3. **切果损耗——直接影响利润**
   - 菠萝可食率约 **55%~65%**（去皮去眼后）。损耗主要来自：
     - **果眼过深**：需要多削一层，损耗大。
     - **果形不正**：如扁平、畸形，切时难处理，且切块品相差。
     - **成熟度不均**：过熟或过生，切后容易出水或发硬。
   - **经营建议**：如果超市提供现切服务，优先选果眼浅、果形圆的菠萝（如“香水菠萝”通常果眼浅，损耗低）；整果销售者可相对放宽。

4. **大小——优先级最低**
   - 大小与甜度无直接关系，但注意：
     - 太大（>1.5kg）往往纤维粗，口感偏硬；
     - 太小（<0.8kg）可能发育不足。
   - **选中等偏大（约1.2~1.5kg）** 最稳妥，兼顾口感和单价。

**最终决策顺序建议**：  
**先香（甜度） → 再看霉伤（外观） → 摸果眼定损耗 → 最后比大小**。

如果其他条件接近，宁可选稍小一点但香气浓、果眼浅的，也别选大而青涩的。另外，超市进货时建议要求供应商提供“糖度仪检测值”（正常应在14~16 Brix以上），这是最客观的甜度依据。
