针对餐饮连锁采购水果，**中央厨房统一收货**通常更优，但需结合门店规模和水果特性综合判断。以下是具体分析：

### 推荐方案：中央厨房统一收货
**优势：**
1. **品质可控**：中央厨房可统一验收标准（如成熟度、重量、无腐烂），避免门店非专业导致的差异。
2. **成本降低**：集中采购量大，可压价；减少门店零星采购的运输、人力成本。
3. **库存周转**：分批加工预处理（如切配、保鲜），再按需配送，避免门店积压浪费。
4. **标准化输出**：统一清洗、分装后，确保各门店水果品相、份量一致。

**适用条件：**
- 门店数量≥5家，且距离中央厨房1小时内配送半径。
- 水果品类需耐储存（如苹果、橙子），或能快速加工（如切成果盒）。

### 替代方案：门店分开收货（仅特殊场景）
**适用情况：**
1. **极高端连锁**（如生鲜零售型餐饮）：门店直接展示现货，需即买即售，中央加工会减损卖相。
2. **超远距离门店**（跨省、海岛等）：中央配送成本过高，且易腐。
3. **特色小牌连锁**（如社区店）：仅1-2家店时，中央厨房成本摊薄不划算。

### 操作建议（选中央厨房时）：
1. **分级处理**：当日即食水果（如草莓）由中央处理并冷运；耐储水果（如芒果）可批送至门店后自行二次检查。
2. **建立退货机制**：门店24小时内可退回中央厨房已分装但出现问题的水果。
3. **按用途切割**：做果汁的水果可统一去皮去核；做水果捞的则按门店当日预估量分装。

### 关键注意事项：
- **保鲜时效**：易损水果（如荔枝、山竹）应缩短中央到门店的配送时间（建议≤3小时）。
- **淡旺季调整**：夏季多雨时集中控损，冬季可适当放权门店二次分选。

最终决策前，建议用1个月对比测试：A组（中央统一收货）与B组（门店自采，按比例补贴运输费），测算综合成本（损耗+人工+采购价差）。
