关于“都乐”和“洪九果品”是否提供菠萝品牌营销素材，**这类信息取决于具体合作条款，通常不会公开。** 生鲜电商若需要品牌素材，一般通过以下方式获取：

**1. 官方渠道直接联系**
- **都乐（Dole）**：作为国际品牌，通常有成熟的B2B合作部门，可联系其中国区市场部，洽谈联名营销或素材授权。
- **洪九果品**：国内头部水果供应链企业，更侧重于大宗批发和商超渠道，若有电商项目合作，需通过其销售或市场团队对接。

**2. 平台方现成素材库**
- 如果您的生鲜电商是入驻**京东、天猫、美团买菜**等平台，平台会提供品牌商上传的标准化商品图、详情页模板，可直接使用，但不可用于站外广告。

**3. 自行制作（推荐）**
- 营销素材（如宣传图、短视频）建议由生鲜电商自行拍摄或设计，突出菠萝的**新鲜度、产地（如海南、菲律宾）**，避免依赖品牌方素材带来的版权风险。

**4. 版权提醒**
- 若未经授权直接使用品牌Logo、官方图片，可能涉及侵权。**务必签订书面授权协议**，明确使用场景和期限。

**执行建议：**
- 直接电话联系都乐中国（官网有合作入口）或洪九果品（见其官网“合作伙伴”栏目）。
- 如果只是想做“菠萝季”营销，不必非要品牌联名，采购时索要《质检报告》和《产地证明》自行加工素材即可。

如果您需要，我可以帮您起草一份“品牌素材授权申请函”模板（需说明用途、渠道和时间）。
