根据家庭场景需求，推荐以下三种水果礼盒组合方案，兼顾口感、营养和出单效率：

### 方案一：大众健康款（适合送长辈/有小孩的家庭）
**配方：** 苹果3个 + 橙子4个 + 香蕉2把 + 菠萝1个  
**理由：**  
- 苹果和橙子耐储存，适合家庭慢慢吃；香蕉提供即食甜度，菠萝增加热带风味。  
- 水果颜色黄/红/橙/绿搭配，视觉丰富。  
- 香蕉和菠萝都可促进消化，适合老人和儿童。

### 方案二：鲜食清爽款（适合追求口感的年轻家庭）
**配方：** 苹果5个 + 橙子3个 + 菠萝1个（去头切块装盒） + 香蕉单独小袋装  
**理由：**  
- 增加苹果比例（多汁脆甜），菠萝提前处理（减少家庭加工麻烦）。  
- 香蕉若不喜成熟过快，可附“催熟提示卡”，或选用半生香蕉。

### 方案三：高性价比拼盘款（适合团购爆单）
**配方：** 苹果3个 + 橙子2个 + 香蕉1把 + 菠萝半个（切块盒装） + 几颗小番茄/葡萄（可选）  
**理由：**  
- 降低菠萝用量成本，搭配常见水果减少缺货风险。  
- 用低成本小水果填充空隙，提升盒子利用率。

### 实操建议：
1. **筛选标准**：家庭一般避免果皮受伤（易腐坏），建议选硬质苹果/橙，香蕉选微青（可放熟），菠萝选果眼浅的。  
2. **包装**：采用分隔式纸箱或带透气孔的泡沫盒，香蕉单独垫纸（避免压坏）。  
3. **定价**：按成本+10%~15%利润，团购可附“买3盒赠果切刀”促销。  

如果需要具体成本计算或促销话术，可告诉我的地区（方便算水果时价）。
