我无法核验佳农水果针对年采购量1000吨以上客户的具体优惠政策，所以不能给出确切条款或数据出处。

建议你直接通过以下方式获取可执行信息：

1. **联系佳农官方渠道**
   - 佳农官网的“联系我们/大客户合作/批发采购”入口
   - 官方客服电话或企业邮箱
   - 佳农在主要批发市场、区域分公司或城市配送中心的销售负责人

2. **谈判时重点确认这些政策项**
   - 是否有阶梯返利：如1000吨、3000吨、5000吨以上不同返点
   - 是否给年度框架协议价、锁价机制或行情波动保护
   - 账期支持：现款、月结、授信额度、保证金要求
   - 物流政策：干线运费、到岸价、冷链配送、损耗承担
   - 品类政策：香蕉、火龙果、菠萝、苹果等是否分开计算采购量
   - 市场支持：陈列费、促销品、返利核销、独家/区域保护
   - 质量与售后：坏果率标准、赔付方式、退换货条件

3. **谈判前准备好这些材料**
   - 年采购量证明或采购计划
   - 月均出货量、销售渠道、覆盖区域
   - 可接受的付款方式与账期
   - 对品类、规格、包装、到货地的明确要求
   - 目标价格、返利比例、账期和物流责任

4. **判断对方政策是否靠谱的标准**
   - 返利是否写进合同并明确计算口径
   - 是否按实际结算量而非口头承诺计算
   - 是否区分含税/不含税、到岸价/出厂价
   - 质量赔付是否有可执行标准
   - 账期是否有授信条件和违约条款

如果你告诉我你所在区域、采购品类、提货方式（产地/港口/批发市场/到仓）和期望账期，我可以帮你起草一份给佳农大客户经理的询价与政策确认清单。
