餐饮连锁采购水果时，**中央厨房统一收货通常更优**，但在特定条件下，门店分开收货也有其适用场景。以下从供应链管理角度为你分析，便于你结合自身规模做出决策。

### 一、为什么优先推荐“中央厨房统一收货”？  
1. **品质与损耗控制更强**  
   - 水果易损耗，门店分散收货容易出现“看人下菜”——门店验收标准不一，挑剩的次果可能流入门店。中央厨房可设专门质检岗，按统一标准验收（如糖度、成熟度、磕碰率），从源头把控。  
   - 中央厨房可进行二次分拣、预加工（如清洗、切配、按门店订单定量分装），减少门店损耗和库存积压。

2. **采购议价与供应链成本更低**  
   - 集中采购量更大，可签订长期协议价，或产地直采，降低单价。  
   - 运输上可整柜/整车配送至中央厨房，再由冷链车分拨至门店，比各店单独叫货更可控，整体物流成本可能降低10%-20%。

3. **库存与资金周转更集中**  
   - 总部可统一预测各门店销量（基于历史数据），避免各店重复囤货或断货。中央厨房可做安全库存，门店实现“即时叫货、次日达”，减少门店资金占用。

4. **食品安全可追溯性高**  
   - 水果涉及农残、冷链安全，集中收货便于留存供应商资质、检测报告，一旦发生问题可精准追溯批次、定向召回，降低品牌风险。

### 二、什么情况下，门店分开收货反而更优？  
- **加盟模式且门店地域分散**：若门店跨省/市，距离中央厨房过远，冷链运输时间反而导致水果不新鲜。此时可采取“区域中央仓”或“供应商直送门店”模式。  
- **门店规模大、日均销量高**：如单店日销量达数百公斤，门店可分完即售，周转极快，此时门店自收可以减少一次中转损耗和装卸成本。  
- **非标品或小众水果**：如地方性时令水果只在本地区受欢迎，直接向本地供应商订货更灵活，中央厨房统一采购反而失去本地化优势。

### 三、落地建议（实操优先）  
1. **初期或中型连锁（10-50家门店）**：建议选择“中央厨房统一收货+分拣分拨”模式，并同步建立：  
   - 定岗验收员，按《水果验收标准表》执行（含重量误差、外观瑕疵率≤5%等）。  
   - 按门店订单“先分装、后冷藏”出库，用周转筐编码对应店号。  
   - 每周复盘各门店损耗率，倒逼门店合理下单。

2. **成熟期或大型连锁（>50家门店）**：可考虑“中央仓+区域分仓”（大区设二级仓），或对易腐品类（如草莓、蓝莓）缩短账期、由供应商直接配送到门店，其他耐储品类（苹果、橙）仍走中央仓。

3. **无论哪种方式，务必统一“门店叫货系统”**：给门店设定最低起订量、预订截止时间，否则分开收货也容易造成“想收多少收多少”的混乱。

**总结**：如果你主营是标准化水果（如常见苹果、香蕉）且门店相对集中，中央厨房是成本与品质的“双赢”选项；若你多为高端易损水果，或门店分布极端分散，则需混合模式——中央厨房负责常规品类，特殊品类由供应商定向配送。

如果你能提供门店数量、平均单店日销量、配送半径等数据，我可以给出更具体的仓配测算模板。
