建议采用“热带风情组合”方案，核心逻辑是**用高单价水果（菠萝）带动中等价位（苹果），利用香蕉作为引流锚点**。具体可执行建议如下：

### 组合促销方案（3种）

**1. 家庭分享装（推荐）**
- **组合**：1个菠萝 + 3个苹果 + 2根香蕉（约1-1.5kg）
- **定价**：原价约28元，**促销价22.9元**（省5元）
- **理由**：菠萝单价高（8-10元/个），香蕉引流（1-2元/根），苹果作为利润补充。通过“全家分享”场景，引导顾客额外购买。

**2. 水果沙拉拼盘**
- **组合**：切好的菠萝块（半颗）+ 苹果块（1个）+ 香蕉片（1根），分装成盒
- **定价**：原价约15元，**促销价12.8元**
- **理由**：提升复购率（方便即食），减少损耗（用不完的水果加工），客单价从单买香蕉（2元）跃升到12.8元。

**3. “自由搭配”满减**
- **组合**：任意选菠萝/苹果/香蕉，满3件减5元，满5件减10元
- **定价**：例如菠萝（9元）+苹果（4元）+香蕉（3元）=16元→实付11元
- **理由**：让顾客感知“多买多省”，容易凑单。苹果和菠萝的毛利可覆盖香蕉的让利。

### 执行关键点
- **陈列**：将组合装放在主通道最显眼位置，用爆炸贴标注“省5元”。旁边单独放单价对比牌（如“单买共需28元，组合仅22.9元”）。
- **话术**：店员提醒“买3样更划算，刚到的菠萝很甜”，看到犹豫顾客直接递上组合装。
- **补货**：香蕉准备充足的散卖装（预防顾客觉得组合装香蕉太多不新鲜），但组合装只放1-2根，减少损耗。

### 注意事项
- **香蕉成熟度**：促销装里的香蕉应选择刚转黄、未出斑点的，避免促销品显得不新鲜。
- **菠萝处理**：提供免费削皮服务，增加购买转化。
- **测试周期**：先试1周，观察动销。如果苹果组合消化快，可增加苹果比例；如果菠萝滞销，可改为“买菠萝送香蕉”。

**预期效果**：客单价从单品平均8元提升至15元以上，库存周转加快，损耗率降低10%-15%。
