关于都乐（Dole）和鑫荣懋（Xinrongmao）菠萝的**到货损耗率**，**没有公开的、统一的标准数据**。这两家都是大型水果供应商，但损耗率取决于**具体规格、产地、季节、运输距离、冷链条件、以及你采购的批发/配送节点**。

不过，根据行业经验，可以给你一个**参考范围**和**采购建议**：

**1. 行业经验损耗率参考（到货后剔除外观破损、腐烂、过熟部分）：**

-   **都乐（Dole）**：通常为 **5% - 10%**。
    -   他们以标准化、冷链完整著称，如果采购整箱通货，正常损耗在5%左右。如果遇到台风季或高温长途运输，可能达到10%。
-   **鑫荣懋**：通常为 **6% - 12%**。
    -   因为其供应链更灵活，有时批次的成熟度控制不如都乐严格，建议重点检查果眼、尾部发霉情况。

**2. 影响损耗率的四大关键变量（你必须向供应商核实）：**

-   **规格稳定性**：都乐（如Dole黄金菠萝）通常按**个头大小**（如9头、12头/箱）和**糖度**分级，损耗可控。鑫荣懋若你要求“稳定规格”，需明确指定**单果重范围**（如1.2-1.5kg），否则容易混入偏小果。
-   **到货方式**：**冷链到货**损耗通常比常温低3-5%。如果对方承诺冷链，但到货温度高于12℃，损耗会激增。
-   **季节**：5-8月国产菠萝（如徐闻、海南）运输损耗高；9-3月主要靠进口（菲律宾、泰国），损耗相对低。
-   **包装**：检查纸箱是否有**通气孔**，以及是否有**内衬泡沫/网套**。没有网套的菠萝在堆叠时易压伤，损耗可能翻倍。

**3. 给你一个可执行的操作建议（比问“平均损耗率”更有用）：**

采购前，直接向供应商要求：

-   **“抽样开箱验货”**：允许你在到货后2小时内，随机抽取3-5箱，按**“称重损耗”**（水分流失）和**“外观损耗”**（烂点）分开计算。
-   **“阶梯赔付条款”**：在合同中写明，若到货损耗超过**8%**，超出部分由供应商承担或折算价格补偿（具体比例按你谈判能力定）。
-   **核心数据**：直接要求供应商提供**他们近三个月的实际到货损耗台账**（通常他们都有，只是不主动给）。如果对方说“没有”，那说明其品控记录不规范，风险较高。

**总结建议：**

-   如果追求**极低风险**（比如做高端餐饮），选**都乐**，预计损耗控制在**5%-7%**。
-   如果追求**性价比**，选**鑫荣懋**，但务必把“指定糖度、单果重、到货温度”写进合同，否则损耗可能上浮至**10%以上**。

**重要提示**：以上数字是行业经验估算，**不是官方承诺**。在正式下单前，务必要求供应商就“本批次菠萝”给出书面损耗承诺。
