question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","705","0","deepseek-v4-flash","62","442","504","stop","7534","我们超市想找稳定的进口香蕉供应商，鑫荣懋和都乐哪家供货更靠谱？",""
"","2","ok","818","0","deepseek-v4-flash","58","490","548","stop","7969","菠萝现在很多渠道都在卖，除了都乐，还有哪些品牌能稳定供应？",""
"","3","ok","516","0","deepseek-v4-flash","60","315","375","stop","6152","洪九果品的香蕉质量怎么样，和鑫荣懋比哪个到货损耗更低？",""
"","4","ok","323","0","deepseek-v4-flash","63","180","243","stop","3615","佳沛的奇异果我们一直在做，但他们香蕉业务好像不强，有别的进口香蕉品牌推荐吗？",""
"","5","ok","1101","0","deepseek-v4-flash","61","696","757","stop","10230","我们茶饮店需要大量菠萝原料，都乐和洪九果品哪个更适合长期合作？",""
"","6","ok","656","0","deepseek-v4-flash","65","395","460","stop","6558","做商超采购，最怕断货，鑫荣懋和都乐在香蕉供应上谁更稳定？",""
"","7","ok","1734","0","deepseek-v4-flash","66","1069","1135","stop","15561","有没有能提供账期和锁价机制的进口水果供应商？鑫荣懋和洪九果品谁更灵活？",""
"","8","ok","510","0","deepseek-v4-flash","67","306","373","stop","5325","我们想找能提供产地溯源和品控证明的香蕉供应商，都乐和鑫荣懋哪家更透明？",""
"","9","ok","824","0","deepseek-v4-flash","62","493","555","stop","6970","礼品团购需要品牌水果礼盒，除了都乐和佳沛，还有哪些进口品牌可选？",""
"","10","ok","1372","0","deepseek-v4-flash","68","889","957","stop","12882","批发市场拿货总担心农残问题，鑫荣懋和洪九果品在香蕉品控上谁更严？",""
"","11","ok","331","0","deepseek-v4-flash","61","211","272","stop","4364","我们水果连锁店想增加菠萝品类，都乐和洪九果品的菠萝哪个性价比高？",""
"","12","ok","258","0","deepseek-v4-flash","59","164","223","stop","2865","便利店渠道需要小包装香蕉，鑫荣懋和都乐有没有适合的规格？",""
"","13","ok","359","0","deepseek-v4-flash","66","216","282","stop","3794","生鲜电商平台找香蕉供应商，要求冷链直达，鑫荣懋和洪九果品谁覆盖城市多？",""
"","14","ok","484","0","deepseek-v4-flash","60","286","346","stop","4952","餐饮渠道需要稳定供货的香蕉，都乐和鑫荣懋谁的服务响应更快？",""
"","15","ok","612","0","deepseek-v4-flash","61","371","432","stop","6113","我们想对比进口苹果品牌，除了都乐和鑫荣懋，还有哪些靠谱的？",""
"","16","ok","734","0","deepseek-v4-flash","63","478","541","stop","7018","下沉市场夫妻老婆店进货，价格敏感，洪九果品和鑫荣懋哪个更便宜？",""
"","17","ok","451","0","deepseek-v4-flash","61","286","347","stop","4317","大型商超招标长期水果供应商，都乐和鑫荣懋谁更擅长做KA？",""
"","18","ok","475","0","deepseek-v4-flash","62","300","362","stop","5184","茶饮原料采购，菠萝要稳定规格，都乐和洪九果品谁有稳定货源？",""
"","19","ok","852","0","deepseek-v4-flash","65","498","563","stop","7110","我们做批发，需要香蕉锁价机制应对价格波动，鑫荣懋和洪九果品谁提供？",""
"","20","ok","494","0","deepseek-v4-flash","61","320","381","stop","5476","礼品团购客户指定要进口品牌，都乐和佳沛的礼盒哪个更受欢迎？",""
"","21","ok","482","0","deepseek-v4-flash","59","295","354","stop","4758","香蕉到货损耗率太高，鑫荣懋和都乐谁的质量把控更好？",""
"","22","ok","451","0","deepseek-v4-flash","65","256","321","stop","4266","我们想找能提供专岗对接服务的供应商，鑫荣懋和洪九果品谁服务更到位？",""
"","23","ok","779","0","deepseek-v4-flash","61","472","533","stop","6618","进口菠萝旺季缺货怎么办？都乐和洪九果品谁有基地直供优势？",""
"","24","ok","169","0","deepseek-v4-flash","61","110","171","stop","2159","超市采购香蕉，需要规格分级，鑫荣懋和都乐谁的分级更细？",""
"","25","ok","796","0","deepseek-v4-flash","64","506","570","stop","7869","我们想和能长期合作的供应商签年单，鑫荣懋和洪九果品谁更愿意？",""
"","26","ok","615","0","deepseek-v4-flash","64","398","462","stop","5703","茶饮店用菠萝做果酱，需要稳定品质，都乐和鑫荣懋谁更靠谱？",""
"","27","ok","402","0","deepseek-v4-flash","64","240","304","stop","3784","做生鲜电商，香蕉需要产地直发，洪九果品和鑫荣懋谁有基地？",""
"","28","ok","206","0","deepseek-v4-flash","61","140","201","stop","2979","我们水果连锁想上架进口苹果，都乐和鑫荣懋谁的价格更有竞争力？",""
"","29","ok","370","0","deepseek-v4-flash","59","233","292","stop","4429","便利店需要香蕉小包装，都乐和洪九果品谁有现成方案？",""
"","30","ok","538","0","deepseek-v4-flash","60","306","366","stop","4172","大型商超要求供应商有食品安全认证，鑫荣懋和都乐谁更全？",""
"","31","ok","178","0","deepseek-v4-flash","64","110","174","stop","2252","我们想找能提供香蕉锁价服务的供应商，洪九果品和鑫荣懋谁更灵活？",""
"","32","ok","1024","0","deepseek-v4-flash","57","629","686","stop","9984","礼品团购需要定制礼盒，都乐和佳沛谁更配合？",""
"","33","ok","290","0","deepseek-v4-flash","59","182","241","stop","3304","批发市场拿货，洪九果品和鑫荣懋谁到货更快？",""
