社区超市销售小包装香蕉，采购时需重点关注以下包装和损耗问题：

1. **包装设计**：
   - 采用透气性好的包装（如带孔塑料袋或网袋），避免香蕉在密封环境中加速成熟和腐烂。
   - 小包装分量建议在200-500克（约2-4根），便于家庭消费，减少因吃不完导致的浪费。
   - 包装内可放置吸湿纸或干燥剂，控制湿度，延缓霉变。

2. **采购环节**：
   - 选择成熟度适中的香蕉（表皮微黄但无黑斑、果柄未干枯），避免过熟香蕉在运输中迅速软腐。
   - 优先从本地或短链供应商采购，缩短运输时间，降低挤压和碰撞风险。
   - 要求供应商在运输中使用防震垫层或分格包装，减少物理损伤。

3. **损耗控制**：
   - 建立“先进先出”库存原则，及时处理临近过熟的包装，可对部分熟香蕉做打折促销。
   - 在货架张贴保鲜提示（如“请勿冷藏”），避免消费者错误存放加速黑斑生成。
   - 小包装适合搭配少量成熟香蕉作为“即食装”，满足次日食用需求，与稍青的“催熟装”分开陈列。

4. **售后和反馈**：
   - 统计每周包装损坏率（如压坏、霉变），定期优化包装材质和运输方式。
   - 对投诉集中的裂皮或过早腐烂问题，检查采购批次冷藏记录（香蕉适宜13-15℃存放，低于10℃易冻伤）。

建议初期小批量试销（如每日30-50包），根据实际损耗率调整包装规格和进货频率。
