超市采购水果担心农残抽检，建议在采购前/合同中向供应商索取并留存以下资料，核心是“可追溯 + 有检测 + 有承诺”：

1. **供应商主体资质**
   - 营业执照
   - 食品经营许可证/食品生产许可证（按实际业态）
   - 若为种植基地直供：种植主体资质、基地备案或产地证明
   - 若为进口水果：海关报关单、入境货物检验检疫证明

2. **每批次农残检测资料**
   - 该批次或同产地同品种的农药残留检测报告
   - 报告最好由具备 CMA/CNAS 资质的第三方检测机构出具
   - 检测项目应覆盖常见高风险农药，如有机磷、氨基甲酸酯、拟除虫菊酯等，具体按水果品类和国标要求
   - 注意报告日期、批次号、品种、产地要与到货一致

3. **承诺与追溯文件**
   - 质量安全承诺书：承诺不使用禁用农药、农残符合 GB 2763
   - 供货凭证/购销合同：明确农残超标责任、退换货和赔偿条款
   - 产地证明或追溯码：能追溯到具体基地/合作社/农户
   - 用药记录或种植管理记录（基地直供时尽量要）

4. **到货时同步核对**
   - 送货单上的批次号、产地、数量与检测报告对应
   - 保留样品和单据，便于抽检不合格时追责
   - 对高风险水果，可自行或委托第三方做快检/抽检

5. **合同里建议写清**
   - 每批到货必须随附合格检测报告或承诺书
   - 抽检不合格时供应商承担检测费、退货、赔偿及监管处罚损失
   - 供应商配合提供追溯资料和复检

简单说：**要资质、要批次检测报告、要承诺书、要追溯凭证，并在合同里约定责任。** 如果供应商只能给一份笼统报告、不愿给批次对应材料，农残抽检风险会明显偏高。
