针对超市引入进口水果，建议**优先从香蕉开始**，其次考虑菠萝，苹果可放在后期。

**理由如下：**

1. **香蕉——最稳定的“入门级”单品**  
   - 进口香蕉（如菲律宾、厄瓜多尔产）在国内市场接受度高，是大众日常消耗品，复购率极强。  
   - 供应链成熟，海运、冷链标准统一，损耗风险相对可控。  
   - 价格弹性小，消费者对价格敏感度低；即使初期销量不理想，也能通过促销快速周转。

2. **菠萝——作为第二梯队**  
   - 进口菠萝（如泰国小菠萝、菲律宾金菠萝）有差异化卖点，适合吸引尝鲜客户。  
   - 但季节性较强，且需注意催熟和保存条件，若门店冷链和员工培训不足，损耗较香蕉高。  
   - 适合在香蕉稳定后作为补充，避免初期同时引入过多品类分散管理精力。

3. **苹果——不建议优先**  
   - 进口苹果（如美国蛇果、新西兰红玫瑰）价格高，且国产高端苹果（如新疆阿克苏、甘肃花牛）已占据大量市场份额。  
   - 消费者对苹果“进口即更好”的认知不强，初期难以形成稳定复购。  
   - 可作为后续完善品类时的小众补充。

**执行建议：**  
- 先与2-3个信誉好的香蕉进口商建立合作，试用两个月，观察周转率和损耗。  
- 同时考察菠萝的供应链（运输时长、催熟工艺），第二个月再小批量引入菠萝。  
- 苹果不建议在上架前三个月进入考核范围。  

如果需要具体供应商对接或成本测算，请提供所在城市和店面规模，我可以进一步给计算示例。
