选择适合批量配送的下午茶水果供应商，建议按以下步骤操作：

1. **明确需求与筛选标准**  
   - **水果种类**：优先选耐储存、易搬运的（苹果、橙子、香蕉、梨、圣女果等），避免易挤压的（草莓、蓝莓、芒果）。
   - **数量与频次**：确定每次采购量（如30-50人份）和配送频率（每周/双周）。
   - **配送时效**：要求上午送达，确保新鲜度。
   - **预算**：设定单价上限（如人均10元以内）。

2. **寻找供应商渠道**  
   - **本地水果批发市场**：直接联系商户，通常可提供批量配送，价格较低。
   - **生鲜电商平台**：如每日优鲜、盒马、美团优选，有企业采购专区，支持定时配送。
   - **本地社区团购平台**：如美团优选、多多买菜，适合小批量多频次。
   - **固定水果店或连锁超市**：与附近店长协商长期合作配送。

3. **评估供应商的关键点**  
   - **资质与口碑**：查看营业执照、食品安全许可证，咨询其他企业用户反馈。
   - **样品测试**：要求免费或低价试吃一批，检查新鲜度、大小统一性、包装完好性。
   - **配送能力**：确认是否提供“到公司楼下”或“指定楼层”的配送，以及退换货政策（如破损/不新鲜可补发）。
   - **价格与付款**：对比3-5家报价，是否含配送费、税点，支持月结还是现结。

4. **签订协议并试用**  
   - 首次合作可先采购小批量（如10人份），试运行1-2周。  
   - 明确配送时间、签收流程、售后处理（如配送延误或质量问题）。  

5. **持续优化**  
   - 收集员工反馈（甜度、新鲜度、品种偏好），每月调整订单。  
   - 建立备选供应商清单，防止单一供应商断货。

**示例操作**：  
- 若公司位于北京，可联系**北京新发地市场**的档口，或**每日优鲜企业采购**（电话或APP申请）。  
- 小公司可优先用**美团优选**（次日达，水果盒装不易坏），单次采购200元起送。  

注意：避免选择“远距离配送”的供应商，优先本地30公里内的。如果无法当面验货，要求供应商拍摄**实时视频**（展示分拣和装箱过程）。
