关于都乐（Dole）和鑫荣懋（Joy Wing Mau）菠萝的到货损耗率，具体数据通常取决于当季水果品质、运输距离、冷链条件等因素，且供应商不会公开发布标准损耗率。以下为行业经验参考及建议：

1. **行业平均损耗范围**  
   - 都乐（进口/高标准）：在完整冷链和48小时内到货情况下，**到货损耗率通常为1%-3%**（主要源于运输颠簸导致的轻微外伤或成熟度不均）。  
   - 鑫荣懋（国产/东南亚供应链）：若使用陆运或短途海运，损耗率多在**3%-5%**（可能包含部分因成熟度差异需剔除的果实，或挤压伤）。  

2. **实际到货状态差异**  
   - 都乐菠萝多为标准化催熟处理，规格一致性高，但需注意部分长期储存后的**内部褐变**风险（低于1%）。  
   - 鑫荣懋性价比高，但不同产地（如菲律宾vs海南）的果实硬度差异可能影响到货完好率，**夏季高温期损耗可能升至5%-8%**。  

3. **获取精准数据的实操建议**  
   - **要求供应商提供历史批次数据**：直接向两家的区域销售经理索要最近3个月的“到货验收记录”或“月度损耗统计表”。  
   - **试单测试**：各采购1-2箱，按茶饮标准（如去皮后净重、糖度、无黑心病）验收，计算实际损耗。  
   - **账单倒推**：核对采购合同中是否包含“到货损耗超X%可索赔”条款，并要求供应商提供保险赔付记录。  

4. **降低损耗的签约策略**  
   - 在合同中约定：到货损耗≥4%当批次免运费，或损耗≥6%可退货。  
   - 要求供应商提供“熟度分阶包装”：将轻微损伤菠萝按“即用/24小时备用”分发货，减少一次性浪费。  

若需进一步协助，建议直接向都乐（021-2308 9000）或鑫荣懋的华东/华南大客户经理索取专属数据，或要求提供**同一批次到货的第三方检验报告**（如SGS或CCIC）。
