核实水果供应商的“全国配送”能力，不能只看口头承诺或宣传页，要拆成**覆盖范围、配送时效、冷链能力、履约稳定性、成本边界**五项分别验证。可按下面步骤做：

1. **要求给出可验证的配送范围清单**
   - 让对方提供：常发省份/城市清单、偏远地区是否覆盖、是否支持乡镇/县级地址。
   - 重点问清：新疆、西藏、内蒙古、青海、宁夏、海南、东北部分地区、云贵川偏远县乡是否加价或停发。
   - 如果对方只说“全国可发”，但不给具体清单，基本可视为覆盖能力不明确。

2. **用真实收货地址做试单**
   - 不要只问客服，直接选几个代表性地址下单测试：
     - 一线城市：如北京、上海、广州、深圳；
     - 中部省会：如武汉、郑州、长沙；
     - 偏远省会：如乌鲁木齐、拉萨、西宁、哈尔滨；
     - 县级/乡镇地址：选1—2个真实采购终端地址。
   - 看是否真的能下单、是否临时加运费、是否转第三方、是否到不了却先接单。

3. **核实时效和到货品质**
   - 要求提供：发货地、承运商、预计时效、是否冷链、是否直达还是中转。
   - 水果关键不是“能到”，而是“到的时候还能卖”。
   - 试单时记录：下单到发货时间、运输天数、到货温度、破损率、腐损率、成熟度。
   - 如果供应商只承诺“全国配送”但不承诺时效和售后，实际履约风险很高。

4. **追问冷链和分仓能力**
   - 问清：是否有产地仓、销地仓、中转仓；哪些城市可次日达/隔日达；哪些只能普通物流。
   - 水果如果走普通快递跨省，夏季高温、冬季冻伤都会导致高损耗。
   - 要求提供冷链车辆、保温箱、冰袋、温控记录等证明，至少要有历史发货记录或客户案例。

5. **核查承运与落地配资源**
   - 问：是自己配送，还是外包给顺丰、京东、德邦、专线物流、落地配？
   - 如果是外包，要确认：哪些区域是快递，哪些是物流专线，哪些是当地批发市场代配。
   - 全国配送往往不是一家物流完成，而是多段拼接；拼接越多，时效和售后越容易出问题。

6. **用历史订单和客户案例交叉验证**
   - 要求提供近1—3个月发往不同区域的实际物流单号，抽几个自己查轨迹。
   - 让对方给出2—3个可联系的采购客户，最好包含偏远地区客户。
   - 注意：只给一线城市案例，不能证明全国覆盖；只给成功案例，也要问失败和售后处理。

7. **把承诺写进合同或订单条款**
   - 明确：可配送区域、时效标准、冷链要求、损耗率上限、到货不合格处理、补发/退款规则、偏远地区附加费。
   - 不要接受“全国配送”这种模糊表述，要落到具体省份、城市、时效和费用。
   - 可约定：试单期、小批量多区域测试、连续3次达标后再放量。

8. **做小批量多区域压力测试**
   - 建议先下5—10单，分布到不同区域，金额不用大，但地址要真实。
   - 测试维度：能否下单、几天到、运费多少、到货品质、售后响应。
   - 如果偏远地区、县级市场、夏季/冬季极端天气下明显掉链子，就说明其“全国配送”只是营销话术。

**一句判断标准：**
能提供具体覆盖清单、真实物流单号、多区域试单成功、时效和售后可写入合同，才算实际覆盖能力；否则只能算“理论上可发”。
