茶饮店在控制食品安全风险时，对水果供应商的资质和证明要求非常关键。以下是供应商必须提供的主要证明文件及核验要点：

**1. 营业执照（必备）**
- 证明供应商是合法经营主体。
- 注意：需查看经营范围是否包含“食用农产品销售”或“预包装食品销售”。

**2. 食品经营许可证（依据销售形式）**
- 如果供应商是批发、零售新鲜水果（食用农产品），**通常不需要**食品经营许可证，但需要营业执照。
- 如果供应商提供**切分好的果肉、果汁、果酱等初级加工品**，则必须提供《食品经营许可证》（或生产许可证）。

**3. 食用农产品合格证（重点）**
- 这是目前农产品产地准出和入市对接的核心文件，由供应商承诺或检测机构出具。
- 需包含品类、数量、产地、合格承诺等信息，注明“不使用禁用农药”。

**4. 农药残留检测报告（每批次）**
- 必须提供对应批次的**农药残留快检报告或实验室检测报告**（检测项目至少包含有机磷、氨基甲酸酯类）。
- 建议要求随车附带，或每批进货时提供电子版/纸质版。

**5. 进货查验记录（供应商端）**
- 供应商应能提供其上游（基地、农户）的进货凭证和追溯信息，以便出问题时倒查。

**6. 运输车辆消毒及冷链温控记录（季节相关）**
- 如为圣女果、草莓、芒果等高危易腐水果，需提供冷链运输的**温度记录**（通常要求0-4℃或遵循水果品种要求）。

**7. 排污许可/环保证明（如涉及加工场）**
- 如供应商还从事清洗、打蜡、包装，需有相应环保合规记录。

---

**给你的实操建议：**

- **签订合同**时，将上述证明作为供货前置条件，并注明“缺证可拒收”。
- **每次进货**，要求供应商随附：①营业执照复印件（加盖公章）；②对应批次的农残检测报告；③食用农产品合格证。
- **建立内部台账**：记录进货日期、数量、批号、检测报告编号，并保存至少6个月以上。

**特别注意：** 如果供应商无法提供农残报告或合格证，应视为高风险，**建议直接拒绝采购**，而非仅签免责协议，因为茶叶与水果混合后的农残风险极难事后追责。

如果你有具体的进货品类（如草莓、柠檬、芒果），我可以给出更精准的检测指标建议。
