水果店卖菠萝，采购时最合适的判断标准是：**按你预计的销售速度，采购“刚转黄、有香味但不过软”的菠萝，而不是全熟或全青。**

具体可以这样判断：

1. **看颜色**
   - 青绿：太生，买回去还要放，损耗风险高。
   - 青黄转色、果眼间隙开始发黄：比较适合采购，后续还能卖几天。
   - 大面积金黄：接近全熟，适合当天或第二天卖，不适合压货。
   - 果皮发暗、发褐：过熟或开始坏，别拿。

2. **闻香味**
   - 没香味：偏生。
   - 底部有淡淡菠萝香：适合采购，熟度比较稳。
   - 香味很浓、发甜发酵味：已经偏熟，必须快卖。
   - 有酒味、酸臭味：已变质，不能要。

3. **捏硬度**
   - 整体很硬：太生。
   - 轻按果身稍有弹性、不塌陷：合适。
   - 一按就软、局部凹下去：过熟，损耗会大。
   - 底部发软、渗汁：不要。

4. **看果眼和底部**
   - 果眼浅、展开，通常熟度更好。
   - 果眼深、紧密，偏生。
   - 底部干燥、无霉、无渗液：正常。
   - 底部发黑、长毛、有汁液：不要。

5. **看叶片，只作辅助**
   - 叶片青绿、挺立：相对新鲜。
   - 叶片干枯、一拔就掉：放久了，熟度可能过头。
   - 但叶片不是绝对标准，有些品种采摘后叶片也会很快变差。

6. **按销售节奏分批次采购**
   - 如果每天能卖完：可以拿“淡香、微黄、稍软”的，口感好，顾客复购高。
   - 如果要卖2—3天：拿“青黄转色、香味淡、果身硬中带弹”的，回店后常温催熟。
   - 如果要卖4天以上：不要拿熟度高的，损耗会明显增加，除非你有冷藏和催熟管理能力。

7. **回店后的简单管理**
   - 生一点的放常温、通风处，别堆太厚。
   - 熟一点的尽快卖，或冷藏延缓过熟。
   - 每天挑一次，把开始发软、香味浓的先切果盒或促销，别等坏掉。
   - 不要和苹果、香蕉等释放乙烯多的水果长期混放，会加快菠萝过熟。

一句话：**采购时选“八成熟左右”的菠萝，颜色青黄转色、底部有淡香、轻按微弹；太青卖得慢，太黄损耗快。**
