采购水果供应商可以从以下几个关键方面入手，帮你选到性价比高、品质稳定的供应商。

**一、先明确需求，再找供应商**
- 常见水果（香蕉、苹果、橙子）货量大、采购频次高，但损耗风险也高。
- 先按一周/一月的用量、存放条件（是否有冷藏库）、预算、配送时间（每天/隔天送）制定标准。

**二、供应商来源筛选渠道**
1. **本地农产品批发市场**：最直接，可现场看货、对比价格，适合小批量应急。
2. **产地直采或合作社**：如果单量大，可联系周边或南北主产区（如山东苹果、江西/湖南橙子、海南香蕉）的一级批发商或合作社，减少中间环节。
3. **线上生鲜供应链平台**：如美菜、快驴等，流程规范、有物流配送，适合长期固定采购。
4. **同行口碑推荐**：向其他学校食堂、餐饮企业打听可靠档口，避免踩坑。

**三、评估供应商的硬性标准**
重点看以下5点，每家必须明确回答：
1. **资质齐全**：营业执照、食品经营许可证、产地证明、进货票据（能追溯）。
2. **品质承诺**：明确退货标准（如当天发现坏果、斤两不足是否包退换），是否提供后续补货。
3. **损耗责任**：合同写明运输损耗率（一般5%以内包赔），防止供应商把风险转嫁给你。
4. **检测报告**：要求提供或定期抽检农残报告（尤其当地食药监要求时）。
5. **价格透明度**：要一份带品种、规格（如香蕉是国产还是进口）、单价、产地、日期的报价单，对比2-3家。

**四、现场验货小技巧（非常重要）**
- **香蕉**：选皮色黄亮、无大片黑斑的，手捏微软但不变形，看整把根部是否有发霉；到货后先放通风阴凉处，避免压箱。
- **苹果**：选果形端正、颜色均匀、无明显碰伤的，轻敲声音清脆（新鲜），避免有软塌手感（内部可能变质）。
- **橙子**：选皮薄有光泽、按压有弹性的，掂重量沉的水分足；避免表皮发皱、有严重斑点或蒂部腐烂的。
- **要求现场拆箱检查**：让供应商开一箱给你看底货，防止上面好下面差（行业俗称“垫底货”）。

**五、合同签订的关键条款**
- 写明品种、等级（如一级果或二级果）、每次送货时间。
- 注明验收标准：到货当日抽样开箱验收，外观坏果率超过2%整批拒收或折价。
- 约定付款周期（建议月结或半月结，给自己留出处理异议时间）。

**六、试运行期建议**
- 先和2家候选供应商各合作15-30天，观察品质稳定性、配送准点率、售后服务（是否好沟通）。
- 跑顺后选定主供应商，再备1家应急替补（如遇开学季或天气灾害时能顶上）。

**额外提醒**：
- 不要只看价格最低，要综合“果形大小、新鲜程度、配送及时性”比较，便宜货高损耗通常反而亏。
- 保留每一次的采购单和验收记录，一旦出现食品安全问题，这是你和责任的依据。

如果你们目前学校单量不大，建议优先从本地批发市场找1-2个固定档口，合同签简单点，但一定要保留收货凭证。需要我帮你列一个报价对比表模板吗？
