建议按“到店后还能卖几天”来倒推采购熟度，而不是只挑最熟的。

**比较实用的判断顺序：**

1. **看果眼**
   - 果眼浅、平、间距均匀：成熟度较合适。
   - 果眼深、尖、还很硬：偏生，适合放几天再卖。
   - 果眼发黑、渗汁、边缘塌：过熟或开始坏，损耗会高。

2. **看底部**
   - 底部颜色由青转黄、干燥、无汁液：较正常。
   - 底部发黑、发软、有酸味或酒味：不要采。
   - 底部还是全青且很硬：可放，但短期卖不动会占架。

3. **按压果身**
   - 轻按有弹性、不塌陷：适合1–2天内卖。
   - 硬得像石头：适合放3–5天再卖，但要看仓储条件。
   - 一按一个坑、回弹慢：当天必须处理，适合切果或促销。

4. **闻气味**
   - 有清甜菠萝香：成熟度较好。
   - 没味道：偏生。
   - 有酒味、酸馊味：过熟或发酵，损耗风险高。

5. **看冠芽和果柄**
   - 冠芽青绿、挺立：较新鲜。
   - 冠芽发黄、干枯：放久了或采后时间长。
   - 果柄切口新鲜、无霉：较好；发黑长毛直接排除。

**采购比例建议：**
- 如果打算当天到后天卖完：可采**7–8成熟**，闻着有香、轻按微弹。
- 如果打算卖3–5天：采**6–7成熟**，果身硬、果眼浅但未软，底部微黄。
- 如果天气热、店内没冷柜：尽量少采8成熟以上，宁可用“少量多次”补货。
- 如果做切果、果汁：可采8–9成熟，但必须当天处理，不能当整果久放。

**简单执行标准：**
- **马上卖**：香、微弹、底部微黄。
- **放2–3天卖**：硬、青黄、无香或淡香。
- **不要采**：软塌、酒味、底部渗汁、果眼发黑。

另外，菠萝是后熟型水果，但后熟速度受温度影响很大。夏天采购熟度要偏低，冬天可略高；如果运输时间长，也要再降半到一个成熟度。
