与酒店早餐水果供应商谈判时，可重点关注以下要点：

1. **明确供应规格**  
   - 列出所需水果种类、每日最低/最高需求量、季节性替换方案（如：草莓下市后替换为哈密瓜）  
   - 要求供应商提供《水果成熟度验收标准表》（例如：香蕉3-4级熟度、牛油果5天货架期）

2. **价格锁定机制**  
   - 签订月度浮动条款：若批发市场月均价波动超10%，双方各承担50%差价  
   - 争取“早餐特供价”优惠：通常比零售批发价低15%-25%

3. **冷链与时效承诺**  
   - 要求供应商提供冷链运输温度记录（如芒果需维持在6-8℃）  
   - 违约补偿条款：超时送达每日扣减货款5%；因变质导致断供需按当日营收的3倍赔偿

4. **品质把关流程**  
   - 出货前：供应商需提供农残检测报告（重点检测甲乙酰甲胺磷等禁用农药）  
   - 到货后：设置30分钟验收窗口，单批次坏果率超过5%可拒收整批次

5. **合作试运行方案**  
   - 先签1-2个月试用合同，约定每周提交《客诉水果清单》（附照片）  
   - 若客诉率超过3次/月，酒店有权单方解约

6. **应急方案**  
   - 要求供应商准备备用运输路线（如雨季绕行方案）  
   - 提供2家备选供应商名单（要求48小时内能启动供应）

建议将上述条款写入合同附录，并附上《水果验收标准图册》（含每个品种的成熟度色卡、冷藏温控曲线图）。谈判时可强调酒店平均300间客房/70%入住率的稳定采购量优势。
