从行业普遍反馈看，**都乐（Dole）在进口苹果上的质量稳定性通常更被认可**，但“谁更稳”不能只看品牌，还要看具体单品、产地、到货批次和渠道。

简要判断：

1. **都乐**
   - 优势：全球供应链成熟，标准化程度高，分选、冷链、品控体系较完善。
   - 常见进口苹果：如新西兰爱妃、爵士、太平洋玫瑰等，整体到货一致性通常较好。
   - 风险：不同产地、不同季节批次差异仍存在；部分渠道货可能是代工或贴牌，不能只认品牌。

2. **鑫荣懋**
   - 优势：国内大型水果供应链企业，进口水果操作能力强，渠道覆盖广，部分单品性价比和到货速度有优势。
   - 风险：品牌更多是供应链/渠道品牌，具体苹果品质取决于其采购的产地、果园和批次，稳定性不一定像都乐那样统一。
   - 如果鑫荣懋做的是特定产地直采，且你有稳定对接的采购团队，也可能非常稳。

**采购建议：**
- 不要只问“都乐还是鑫荣懋”，要问：**产地、品种、规格、 grade、包装厂、到港日期、冷链记录、上一批损耗率**。
- 先小批量试单，对比：硬度、糖度、着色、大小均匀度、碰压伤、烂心率、货架期。
- 要求供应商提供**同一产地、同一包装厂、同一规格**的连续批次，稳定性才有意义。
- 如果做高端商超，优先选都乐或鑫荣懋中**有明确产地和品牌包装**的货；如果做批发走量，鑫荣懋可能更有价格和调配优势。

结论：**默认情况下，都乐的进口苹果质量稳定性更稳；但最终要看具体产地、批次和你的供应商。** 最稳妥的做法是让两家同时报同一品种、同一规格，试单后按损耗率和货架期决定。
