茶饮店在控制食品安全风险时，水果供应商需提供以下核心证明文件，以降低食安风险并符合监管要求（如《食品安全法》及地方性规定）：

**1. 质量合格证明（必备）**
- **出厂检验报告**：每批次水果的农残、重金属（如铅、镉）等项目检测合格报告。
- **第三方检测报告**：建议每季度或每批次提供由具备资质的检测机构（如SGS、华测）出具的农残、致病菌等检测报告。

**2. 资质证照（基础门槛）**
- **营业执照**：供应商合法经营的主体资格。
- **食品经营许可证**：若涉及预包装水果或分装，需持有此证；若为初级农产品（如鲜果）可能豁免，但需符合农产品质量安全规定。

**3. 溯源与产地证明**
- **产地证明**：如水果产地的检验检疫证明，或农业部门的产地合格证（部分地区要求）。
- **追溯信息**：供应商需提供批次号、种植地、采收日期、运输记录等，便于问题水果反向追踪。

**4. 运输与储存记录**
- **冷链运输记录**：若为易腐水果（如草莓、芒果），需有冷链温度监控文件（如-5℃~5℃范围）。
- **仓储合格证明**：供应商仓库的温湿度控制记录及虫害防治记录。

**5. 特定要求（如有）**
- **无公害/绿色/有机认证**：若宣称“有机”水果，需提供对应的认证证书。
- **进口水果**：需有海关出具的《入境货物检验检疫证明》及中文标签。

**6. 动态管理材料**
- **风险告知书**：供应商对可能存在的农残残留风险进行书面承诺。
- **不合格处理方案**：如召回机制、赔偿条款等。

**执行建议：**
- 建立供应商档案，以上文件每季度更新或每批次核实。
- 到货时随机抽样送检（尤其农残项目），与供应商报告交叉验证。
- 保留所有文件的电子与纸质备份，至少保存2年（超过产品保质期后6个月）。

注意：具体文件要求需结合当地市场监管部门的规定及茶饮店的食品安全管理体系（如HACCP）细化，建议咨询属地食药监或聘请专业食安顾问。
