关于洪九果品与鑫荣懋的香蕉质量及损耗对比，基于公开信息和行业一般情况，无法提供具体到特定批次或实时数据的权威结论。以下为通用参考建议：

1. **质量对比**：  
   - 洪九果品以进口水果（如泰国、越南香蕉）为主，注重口感与成熟度控制，但不同批次可能存在差异。  
   - 鑫荣懋作为头部生鲜供应链企业，通常有标准化品控流程，香蕉的甜度、外观一致性相对稳定。  
   - **建议**：可通过实物查验（如果皮完整性、果柄新鲜度、有无黑斑）或查看第三方平台（如批发市场、生鲜电商）的用户评价对比。

2. **损耗控制**：  
   - **到货损耗**主要取决于**运输链（冷链条件、包装缓冲）**和**仓储周转速度**。洪九与鑫荣懋均有成熟冷链体系，但：  
     - 洪九可能更依赖进口直达，运输时间较长，熟度控制需更精准；  
     - 鑫荣懋在国内有分拣中心，短途配送损耗可能更低。  
   - **具体数据**：建议向供应商索要**近1-3个月的运费损耗率**（如每车次烂果率），或采购试单对比。若无法获得数据，可优先选择**就近配送、有自建冷库**的供应源头。

3. **决策建议**：  
   - 若追求**高成熟度即食**，可试订洪九；若需**稳定出成率（如餐饮长期采购）**，鑫荣懋或更可靠。  
   - 建议**小批量试单**，要求双方提供**近期的运输过程温度记录**（如冷链车温控报告），以评估实际损耗风险。

没有具体数据时，请勿轻信任何一方的“损耗更低”宣传，以实际到货质检结果为准。
