在甜品店采购菠萝时，**通常鲜果切配的损耗更低（成本也更可控）**，但前提是**你具备稳定的客流量和妥善的储存能力**。以下是具体对比和实操建议：

---

### 一、直接买成品果丁的损耗情况
- **优点**：省时省力，几乎无加工损耗，产品标准化。
- **缺点**：
  - **价格贵**：成品果丁通常比整菠萝贵30%-50%，采购成本高。
  - **保质期短**：切好的果丁极易出水、变色，一般保质期仅1-2天（冷藏），如果不及时售出，**损耗反而可能更高**（丢弃即100%损失）。
  - **看不见原料**：无法判断是否用了不新鲜或腐坏的菠萝。

---

### 二、鲜果切配的损耗分析
- **损耗率**：一个带皮菠萝的可食用果肉率约55%-65%（视品种和成熟度），即损耗约35%-45%（皮、眼、硬芯）。
- **优势**：
  - **采购单价低**：整果价格远低于成品，虽然损耗高，但净果肉成本通常仍比直接买成品低20%-40%。
  - **灵活性高**：可根据当日客流随切随用，避免长期存储，理论上更不易有过期报废。
  - **品质可控**：可以挑选成熟度最佳、无损伤的菠萝。

---

### 三、核心决策建议（按你的店铺情况对号入座）

1. **如果你的日均销量稳定（比如每天能用掉10个以上菠萝）**  
   ➡️ **自己切配更好**。损耗虽高，但净成本低，且能保证新鲜。建议：
   - 提前一天采购整果，次日早晨集中切配。
   - 切好后用密封盒分装，冷藏并尽量在4小时内用完。

2. **如果你的日均销量低（每天用不到5个）或生意波动大**  
   ➡️ **直接买成品果丁更省心**，但注意：
   - 尽量选**现切现卖**的供应商（如批发市场当日切好的）。
   - 只采购够当天用的量，避免隔夜。

3. **补充小技巧：降低鲜切损耗**
   - 只买**当天到货的成熟果**（手指轻弹有清脆声，底部有浓郁香味）。
   - 剔除硬芯时尽量切薄，果眼用V形刀挖净，减少果肉连带。
   - 切完后的果皮可留作装饰或熬菠萝酱，不浪费。

---

### 最终结论：
- **追求“绝对损耗率”**：成品果丁损耗为0（不计算过期）。  
- **追求“综合成本”**：鲜果切配净耗成本更低，但需要你**具备一定的加工速度和销售周期管理能力**。
- **最稳妥的方案**：如果无法保证当天售完，建议**用冷藏盒装成品果丁，少量多次采购**，比大批量鲜切更不容易报废。
