为了减少香蕉在店内放坏，采购时应从**熟度控制**和**到货时间**两方面严格提出要求，具体建议如下：

### 一、熟度要求（以香蕉色卡为标准，共7级）
| 色卡等级 | 外观描述 | 采购建议 |
|----------|----------|----------|
| 1-2级 | 全青/微黄 | **不采购**，熟化周期长，易积压；除非有专门催熟库。 |
| **3.5-4级** | **绿转黄（黄绿各半）** | **最佳到货熟度**。货架期3-5天，适合暂存1-2天再上架。 |
| 5-6级 | 全黄带少量褐斑 | 仅适合**当天内销完**，若销量稳定可少量采购。 |
| 7级 | 大量褐斑/发黑 | 已过熟，不应采购。 |

**具体话术**：  
要求供应商发货时**香蕉整体颜色介于3.5-4级（即黄多绿少，但顶端仍有绿色，果皮无光泽）**，单根果柄处无明显发黑。若能有分批次熟度更好（如一半4级、一半4.5级）。

### 二、到货时间要求
1. **门店销量规律匹配**：  
   - **周末/节假日**需求量大，提前2-3天（而非1天）到货，让香蕉在后仓自然熟化1-2天，上架时刚好转黄。
   - **工作日**可直接要求到货后**不隔夜**（当日到店，次日上架）。

2. **到货时段**：  
   - **避开高温时段**（如夏季下午13-16点），要求早晚到货（如上午8点前或傍晚6点后），减少运输中加速熟化。
   - **与店内周转同步**：要求到货时间不晚于**营业前2小时**（如9点开店，则7点前到货），留出验收、分拣、暂存时间。

3. **包装与配送**：  
   - 要求使用**透气纸箱/带孔塑料筐**，严禁密封塑料袋。  
   - 若为夏季高温天，可要求**带冰袋（但不能直接接触香蕉）**，或运输车内温度控制在**13-15℃**（非冷柜，但避免高温）。

### 三、退货/赔偿条款（提前约定）
在采购合同中明确以下规则，倒逼供应商重视：
- **到货熟度超标**：如超过5级（全黄有斑），可**拒收或按60%价结算**。
- **到货时间延迟**：超过约定时间4小时以上，可要求按延迟时长扣减货款（如1%/小时）。
- **果柄发霉/果皮变软**：属于运输过程受损，可要求整箱退货。

### 四、实操小技巧
- **到货时立刻抽样**：用指甲轻掐果柄，若汁液清晰、手感硬挺，说明熟度合适；若有软塌感，则说明已过熟。
- **供应商分级**：挑2-3家供应商，分别要求不同熟度（如A家专供4级、B家专供4.5级），避免“一锅端”风险。
- **签订“日配合同”**：对销量稳定的大门店，要求供应商**每日按预估销量分批到货**（如周一1箱4级、周三1箱4.5级），减少单次到货量。

**最终核心**：要求供应商到货时香蕉**手感硬、颜色黄绿各半（绿不超过30%）、无汗珠或水汽**，并明确**到货时间不晚于开店前2小时**。如果连续出现损耗高于5%（按进货量算），可立即尝试更换供应商或调整熟度要求。
