挑选香蕉时，主要靠**看颜色、看棱角、摸手感**来判断熟度。为了在超市买到“正好”的香蕉，可以按以下两步操作：

**第一步：确定“买回来第几天吃”**

- **今天或明天吃**：选**全黄、无绿**的，摸起来整体**微软**（按下去能回弹，但不会塌陷）。
- **后天或之后吃**：选**黄中带微绿**的，表皮有一点绿头尖，但大部分变黄。这种放2~3天完全成熟。
- **不建议买**：全绿（太生，涩口，常温下要5天以上才软）、有大量黑斑或黑点（太熟，可能开始发酵）。

**第二步：现场“三看一摸”**

1. **看棱角**：表皮圆润、棱角不明显的偏熟；棱角分明、鼓起来的通常偏生。
2. **看果柄**：果柄呈绿色且干燥的较新鲜；果柄发黑或湿软的说明存放较久。
3. **看黑点**：少量棕色小点（芝麻点）是自然成熟，最甜；但大面积黑斑或发软出水，则过熟。
4. **摸一摸**：轻轻捏香蕉中段（不要捏两头），太硬则生，太软则过熟。

**额外提醒**：
- 超市常把熟的和生的混在一起卖，**优先拿整串中颜色更均匀的**（避免一根全黄、一根全绿）。
- 如果是盒装/袋装的，无法用手捏时，直接看标签上的“熟度”或“催熟天数”，或者问店员有没有新到的货。
- 买回来如果太生，可以和苹果或梨放一个塑料袋里密封，室温下催熟1~2天（苹果释放乙烯）。太熟则马上放冰箱冷藏，但千万别等出现酒味再吃。
