在水果店卖菠萝，**建议以“整果为主、去皮切片为辅、切块试吃做引流”**。具体原因和建议如下：

1. **整果（优先推荐）**
   - 优势：损耗低、顾客能直观看到新鲜度（菠萝蒂头、外壳颜色、手感）、便于顾客按自己需求决定大小、利润空间更高。
   - 适合：对价格敏感、家里有刀具或喜欢自己处理的顾客（尤其是爱做菠萝炒饭、泡盐水等用途）。
   - 注意：在货架旁准备“去皮小工具指南”或放一段演示视频，降低顾客购买犹豫。

2. **去皮好的（次选）**
   - 优势：方便即食、适合办公室/懒人/带娃人群，能提高客单价。
   - 风险：切开的菠萝氧化快，超过4小时会变色变味，损耗高；如果当天卖不完，建议傍晚打折或做成菠萝杯/果汁。
   - 建议：只在高峰期（如周末下午）多备去皮货，平时少量；去皮后用保鲜膜包好，标注当日出品时间。

3. **让顾客自己挑（不建议主推）**
   - 如果让顾客自己挑，容易导致挑剩的菠萝卖不掉，被顾客反复捏压后损坏率极高，且人工成本上升。
   - 更优做法：**由店员按统一标准挑选**（按压果身有弹性、果蒂脆绿、底部干爽），然后按大小分档标价（如“小个10元/个，大个15元/个”），让顾客在**已挑选好的整果上再自己选一粒**，兼顾选择权与损耗控制。

**落地建议（简单执行）**  
- 门口展示：切一个菠萝去芯切块，放在透明盒里试吃，同时摆几个整果标价对比。  
- 话术：  
  - 对整果顾客：“现场帮您削好也可以，整果回家更能放，放两三天没问题。”  
  - 对切片顾客：“刚切的今天吃最新鲜，买二送一尝一下。”
- 适当做“整果+免费削皮刀”赠品活动，能显著提升整果销量。

总结：**把“去皮”作为增值服务（加1元或买满一定金额免费削），把“挑果”交给店员，整果和去皮都卖，但整果占比应占70%以上**。
