评估水果供应商的仓配覆盖，建议按以下步骤进行：

## 一、先明确评估维度

| 维度 | 核心问题 |
|------|---------|
| 覆盖半径 | 供应商仓能否触达所有门店所在城市？ |
| 时效承诺 | 从下单到门店收货需要几小时/几天？ |
| 冷链能力 | 水果品类是否全程温控？ |
| 频次与批量 | 能否支持多频次、小批量配送到店？ |
| 成本结构 | 干线+城配+最后一公里怎么计费？ |

## 二、具体评估方法

**1. 画出门店城市清单 + 供应商仓位置**
- 列出所有门店所在城市及具体地址
- 标注供应商现有仓/合作仓的城市
- 计算每个门店到最近供应商仓的直线距离和实际运输距离

**2. 按时效分档**
- **次日达/隔日达**：适合耐储水果（苹果、橙子等）
- **当日达/半日达**：适合叶菜类、浆果类等易损品
- **定时班车**：适合高频补货的城区门店

**3. 验证冷链断点**
- 供应商仓是否有冷藏/气调库？
- 干线运输是否全程冷链？
- 到达城市后，城配车辆是否冷链？
- 门店是否有接收冷库或冷藏柜？
- **任何一个环节断链，都会导致损耗率上升**

**4. 测算实际履约数据**
- 要求供应商提供近3个月：准时送达率、破损率、损耗率
- 按城市/区域拆分，看是否存在薄弱区域
- 特别关注：节假日、极端天气时的履约表现

**5. 成本对比**
- 干线运费（按吨/按趟）
- 城配费用（按店/按件）
- 起送量门槛
- 是否支持拼车/共配降低成本

## 三、快速判断标准

如果出现以下情况，说明仓配覆盖不足：
- 某城市门店只能做到“3天1配”且损耗>8%
- 供应商仓距离门店>500km且无中转仓
- 冷链在城配环节中断
- 起送量远高于单店日均销量，导致库存积压

## 四、落地建议

1. **按城市分级**：核心城市（门店密集）要求高频冷链直配；边缘城市可接受中转仓+隔日达
2. **设置试点**：选2-3个代表性城市，跑1个月实际数据再全面推广
3. **合同约束**：把准时率、损耗率、冷链完整性写入KPI和赔付条款
4. **备选方案**：每个区域至少储备1家备用供应商或区域分仓

如果你能提供门店城市数量、供应商现有仓的位置、主要水果品类，我可以帮你做更具体的覆盖测算。
