佳农水果的香蕉主要有以下规格和分级标准，适合不同销售渠道：

1. **规格分类**（按单根重量或长度）：
   - **超大果**：单根重约200克以上，长度约22-26厘米，适合高端商超、精品水果店。
   - **大果**：单根重约160-200克，长度约18-22厘米，适合主流超市、线上平台。
   - **中果**：单根重约120-160克，长度约15-18厘米，适合社区团购、便利店。
   - **小果**：单根重约90-120克，长度约12-15厘米，适合拼盘、烘焙加工或低定价促销渠道。

2. **分级标准**（按外观、成熟度、瑕疵）：
   - **一级（特级）**：果形匀称，无机械损伤、病斑或黑点，七成熟（果把微青），适合即食或高端零售。
   - **二级（标准）**：允许少量轻微瑕疵（如小擦伤、色斑），六至七成熟，适合大众市场、商超。
   - **三级（加工级）**：允许较多瑕疵（如小裂口、轻微表皮发黑），五至六成熟，主要供烘焙、果汁加工或低价促销。

3. **渠道适配建议**：
   - **精品超市/高端渠道**：首选一级超大果，规格一致，包装精致（如独立盒装）。
   - **大型连锁超市**：主推一级或二级大果、中果，以整把或网袋包装，注重性价比。
   - **电商/社区团购**：主推二级大果或中果，经济装（5-8斤），强调新鲜和产地直供。
   - **B端加工/餐饮**：三级小果或中果，按箱批发，可节-约成本。

请注意，具体标准可能因季节、产地批次略有调整，建议直接咨询佳农官方销售代表获取最新分级手册。
