在中国生鲜电商市场中，**都乐的品牌知名度整体高于鑫荣懋**，尤其是在香蕉品类上，都乐具有更强的消费者心智占位。

具体分析如下：

1. **品牌定位与认知度**：
   - **都乐（Dole）**：作为全球知名果蔬品牌，进入中国市场数十年，长期与“高品质进口香蕉”绑定，在商超、电商平台（如盒马、叮咚、京东）的曝光率和搜索词热度均更高。消费者提到“品牌香蕉”时，往往第一时间想到都乐。
   - **鑫荣懋**：主要是B端（企业级）供应链巨头，同时也是佳沃蓝莓等品牌的运营方。其自有品牌在C端（消费者端）直接露出较少，更多是作为后台供应方存在，消费者对其直接认知较弱。

2. **电商平台数据表现**（参考主流生鲜平台搜索结果及销量排序）：
   - 在京东、美团买菜、朴朴等平台，都乐香蕉常占据“香蕉榜”前列，且拥有较高的复购率与评论量。
   - 鑫荣懋的香蕉多以其合作品牌（如佳沛、自有品牌“欢乐果园”）形式出现，少量直接以“鑫荣懋”命名，导致消费者对“鑫荣懋”这一名称的直观印象偏低。

3. **从背书效果看**：
   - 如果您的电商平台需要“品牌背书”以提升客单价和信任度，**优先选用都乐**会更有效，因为它直接传递“国际品质、标准化”的信号。
   - 鑫荣懋的优势在于其供应链稳定性和成本控制力，适合作为**供应链合作伙伴**而非消费者心智端的背书品牌。

**建议执行方案**：
- **主推形象**：使用“都乐”作为香蕉栏目的主视觉背书（例如“都乐精选香蕉”），利用其品牌溢价吸引中高端客群。
- **供应链保障**：在详情页中可以补充“由鑫荣懋提供供应链支持”，但不需要作为主标题强调。
- **差异化测试**：如果平台主打性价比，也可单独设置“鑫荣懋直供”平价专区，用价格优势竞争，而不依赖其品牌知名度。

如果您需要，我可以帮您起草一份针对这两种品牌的电商详情页文案模板。
