选择水果供应商时，很多细节容易被忽视，但恰恰决定了长期生意的稳定性。以下是最值得注意的 5 个“隐性关键点”：

1. **供货的“连续性”而非“单次品质”**
   - 最容易忽视：供应商今天给你好货，明天断货或换差货。
   - 建议：**要求对方书面承诺每月最低供货量**，并实地考察其冷库容量和产地合作数量。连续供货能力 > 单批惊艳。

2. **损耗率和“盲区”货损责任**
   - 水果运输途中天然有损耗（挤压、温差、成熟度变化）。
   - 最容易忽视：供应商是否承担“到店后48小时内发现的内部霉变/空心”责任？很多口头协议只赔外观破损。
   - 建议：在合同中明确**“到货抽检损耗率上限（如≤3%）”**，超出部分折算货款。

3. **分拣标准与“分级规格”**
   - 果品大小、糖度、着色度直接影响终端定价。
   - 最容易忽视：供应商是否按“外观-大小-糖酸比”三级分拣？还是“统货”混装？
   - 建议：第一次合作时，要求对方提供每个批次的**检测报告（糖度、农残）**，并固定规格代码（如70#-75#）。

4. **冷链的“全程温控”记录**
   - 许多供应商只有冷库，不控运输途中的温度。
   - 最容易忽视：运输车是否冷链？夏天常温运输的西瓜/芒果，外表正常但内部已劣变。
   - 建议：抽查运输车辆的**温度计记录曲线**（电子回传），而非只听承诺。

5. **结算账期与“行情波动”条款**
   - 果价每日波动，供应商可能囤货待价而沽。
   - 最容易忽视：当行情大涨时，对方是否保证按约供货而非坐地起价？
   - 建议：提前约定**“锁价天数”（通常3-5天）**，并要求对违约涨价设置违约金（如货款的5%），并在合作中保留备选供应商。

**最终检查清单**：
- 要求提供过去3个月的供货记录（验证稳定）
- 实地考察分拣车间是否“按等级通道”作业
- 试单3次，每次记录货损率与售后响应速度
- 重要节假日（如春节、中秋）前的备货能力测试

最容易被忽视的其实是**“售后反应速度”**——当出现大批坏果时，对方是拖延推诿还是当天补货，决定了你店铺的信誉。建议先小额试单，故意制造一两次小问题，观察处理态度再谈长期协议。
