抱歉，我无法确认佳农是否提供锁价合同，这属于具体企业的商务政策，需要你直接向对方核实。不过可以给你一套可执行的判断和谈判思路。

**先直接问佳农这几件事**
1. 是否支持锁价合同（固定价或区间价）
2. 锁价对应的采购量门槛（你月10吨，年约120吨，属于中等规模，有谈判空间）
3. 锁价期限：3个月/6个月/1年
4. 锁价是否收保证金或预付款
5. 超量、减量怎么算
6. 品质标准（品种、规格、糖度、成熟度、冷冻/鲜果/果浆形态）是否随价格锁定

**现实判断：锁价合同通常有前提**
- 供应商愿意锁价，多半是因为你有稳定大单+预付/保证金
- 完全固定价一年，供应商承担全部风险，一般难拿到
- 更常见的是：**保底量+浮动区间价**，或**季度锁价+季度调价**
- 菠萝原料受季节、产地、天气影响大，纯锁价合同对双方都有违约风险

**你可以争取的几种合同形式**
- **固定价+锁量**：约定每月10吨，价格固定6个月，你付10%-20%保证金
- **区间锁价**：设定价格上限和下限，超出区间再议
- **基价+指数联动**：参考菠萝市场价，涨跌超过5%-10%才调价
- **阶梯价**：年采购120吨以上给更低单价，季度结算
- **混合锁价**：一半量锁价，一半随行就市，降低双方风险

**除了佳农，建议同步做两手准备**
- 找2-3家供应商比价：佳农、其他果蔬供应链、产地直采、冷冻果浆厂
- 如果用的是冷冻菠萝/果浆，锁价可行性比鲜果高，因为可库存、可跨季
- 自建2-3个月安全库存，能显著降低价格波动冲击
- 考虑用期货或产地合作社长期协议对冲，但茶饮店通常用不上期货，长期协议更实际

**谈判时你手里的筹码**
- 月10吨、年120吨的稳定量
- 可接受预付/保证金
- 可接受最低采购量承诺
- 可接受季度调价而非永久固定

**结论**
佳农能不能锁价，只有它自己能给准话。你可以按上面清单去谈，重点问“锁价期限、量门槛、保证金、调价机制”。如果对方只肯短锁或区间锁，这是行业常态，不算拒绝。真正要解决价格波动，建议“锁一部分+备库存+多供应商”组合，而不是把全部希望押在一份锁价合同上。
