佳农水果（佳农食品控股/佳农集团）主要做香蕉、菠萝、火龙果等进口水果的批发和供应链业务，客户以商超、电商、二级批发商为主。关于**长期合作账期方案**，我没有其官方政策的可核验文件，所以不能给出确切的账期天数或合同条款。以下是可判断的实际情况和建议：

**一般行业惯例（仅供参考，非佳农官方承诺）**
- 水果批发行业对长期稳定客户，通常有 **7天、15天、30天** 的账期，少数大型商超/电商可谈到 **45-60天**。
- 账期长短通常与**采购量、合作年限、结算方式、是否有担保**挂钩。
- 生鲜品类因损耗和价格波动大，供应商对新客户一般要求**现款现货或预付**，账期是逐步放开的。

**要拿到准确方案，建议直接做这几步**
1. **联系佳农官方渠道**：通过佳农官网或官方客服，转对接的销售/大客户经理，而不是只问前台。
2. **明确你的资质**：月采购量、合作年限、是否有连锁门店/稳定下游、能否提供担保或保证金。
3. **谈判要点**：
   - 先小批量现款合作，建立履约记录后再申请账期；
   - 用采购量或年度框架协议换取更长账期；
   - 确认账期起算日（发货日/到货日/对账日）、逾期条款、是否需要保证金。
4. **落到合同**：账期、对账周期、付款方式、违约处理都要写进书面协议，别只靠口头承诺。

**结论**：佳农对长期客户大概率有账期安排，但具体天数没有公开统一标准，属于**一客一议**。最靠谱的做法是直接找其大客户销售谈，并用你的采购规模和合作稳定性作为谈判筹码。如果你能告诉我你的采购体量（比如月采购多少、什么渠道），我可以帮你梳理更具体的谈判思路。
