企业食堂采购水果时，**三者的优先级排序应为：食品安全 > 配送准时 > 价格**。原因如下：

1. **食品安全（最高优先级）**  
   - 食堂面向全体职工，一旦发生食安问题（如农药残留、霉变、腐败），可能导致群体性食物中毒，不仅危害健康，还会带来法律责任、监管处罚和严重的声誉损失。  
   - 必须优先核查供应商资质（如农产品合格证、检测报告）、水果新鲜度与存储条件，并建立验收抽检机制。

2. **配送准时（次高优先级）**  
   - 水果属于生鲜，送达延迟会直接导致损耗（如挤压、变质），影响当日菜品供应质量。  
   - 若配送不稳定，即使价格便宜，也会增加隐性成本（如补货运费、员工投诉）。需与供应商明确配送频次、到货时间和应急预案。

3. **价格（相对灵活）**  
   - 在保证前两项的前提下，通过比价、合同锁定价格或按季节调整品类来控制成本。  
   - 不建议为节省预算而降低食安或配送标准，否则一旦出现问题，综合损失远大于节省的差价。

**执行建议**：  
- 采购前要求供应商提供每批次农残检测报告，并抽样留档。  
- 在合同中明确“到货超时的违约金”和“变质水果退换条款”。  
- 每月做一次供应商绩效评估（打分项：食安合格率、准时率、价格对比）。  

如果确实预算紧张，**优先选择稳定的本地供应商**（缩短配送链、便于实地检查），而非单纯看价格最低。
