佳农香蕉作为常见的鲜食水果，其“保质期”通常指**最佳食用状态**，而不是严格的食品安全期限（香蕉不会突然“过期”变质，而是逐渐软烂、褐变）。以下是具体说明：

**1. 保质期（最佳食用期）参考：**
- **常温（20-25℃）**：未成熟（绿色）香蕉约3-5天成熟，成熟（黄色）后约2-3天内风味最佳。
- **冷藏（4-8℃）**：成熟香蕉冷藏可延长至7-10天左右，但果皮会变黑（属正常现象，果肉不受影响）。
- **冷冻（-18℃）**：可保存3个月以上（需去皮装袋），解冻后适合做奶昔或烘焙。

**2. 储存条件建议：**
- **未完全成熟**（带青）：置于阴凉通风处，室温（<25℃）自然催熟，避免密封或暴晒。
- **已成熟**（全黄或有斑点）：放入冰箱冷藏室（4℃左右）可延缓熟化，但请用保鲜袋或纸袋包好，防止水分流失。
- **避免挤压**：香蕉怕压，不要叠放或放重物，建议用挂钩悬挂或平铺。
- **远离乙烯源**：不要和苹果、梨等释放乙烯的水果放在同一密闭容器，这会加速其过熟。

**3. 判断是否还能吃：**
- 果肉有异味（酸臭味）、发霉、流汁，则不能食用。
- 仅果皮出现黑点或褐变，果肉仍无异味、未软化腐烂，可安全食用（剥皮后检查果肉）。

**提示**：佳农香蕉通常为自然催熟处理，到货时若偏青，常温放2-3天即可；若已全黄，建议尽快食用或冷藏。如果储存后出现大量液体或霉斑，请丢弃，不要食用。
