采购菠萝时，判断熟度主要靠**外观、气味和手感**，不建议切开试吃（损耗大），具体标准如下：

**1. 看颜色（最直观）**
- **青绿色为主**：偏生，果肉硬、酸涩，需放几天才能熟。
- **黄绿色相间（约1/3至1/2变黄）**：**最佳采购状态**。这类菠萝在运输和店内摆放1-2天会自然全熟，损耗低，且顾客买回家当天或次日吃口感正好。
- **全黄或橙黄色**：已完全成熟，甜度高但极不耐放，当天卖不掉极易软烂变质，损耗大。**建议少量采购，或仅作为“今日特价”处理。**

**2. 闻气味**
- 成熟菠萝在**果柄端**（根部）会散发出浓郁甜香。如果采购时就能闻到明显香味，说明它已经处于后熟期，到店后要快速周转。
- 完全无味，说明生；有酸馊味或酒味，说明过熟或已开始发酵，一定不要进。

**3. 摸硬度和手感**
- 用手轻按果皮，**微微有弹性、稍软**，是刚好可卖状态。
- 过硬（按不动）——生，需催熟；
- 过软（明显凹陷或按出印子）——过熟，内部可能已软烂，进货即亏损。

**4. 看底部和芽眼**
- 底部（果柄切面）是否干爽，若湿润发黏，代表内部可能已经开始变质。
- 芽眼（表皮上的小格子）饱满、边缘有黄色光泽，通常更甜。

**采购实操建议（减少损耗的关键）：**
- **分批采购**：不要一次进太多全熟货，拿“黄绿相间”为主力，搭配少量全黄货做当天促销。
- **按销量倒推**：每天预估销量，采购量控制在当天销量的1.2倍以内，宁可缺货也不多压。
- **到货后分级**：全黄/软的先上架，黄绿相间的放阴凉通风处催熟，青绿色的放后场或冷库（但菠萝不推荐冷藏太久，会停止成熟）。
- **注意季节**：夏季菠萝成熟快，冬季成熟慢，夏季采购时可适当多拿偏生一点的，冬季则多拿偏熟的。

**一句话总结**：采购时优先选**黄绿相间、果柄有清香、按压微弹**的，成熟度刚好，货架期和口感平衡最佳。
