这是一个很经典的零售问题。针对超市水果区，核心思路是**“由高毛利带动低毛利，由高频单品带动低频单品”，并利用“价格锚点”和“凑单心理”**。

针对香蕉、菠萝、苹果这三种水果，我为你提供三套不同逻辑的组合促销方案，你可以根据超市的**客群定位**（社区店/大卖场）和**库存压力**来选择：

### 方案一：家庭“果盘混搭”套餐（主打“懒人经济”与“一步到位”）
**适用场景：** 下班高峰期、双职工家庭客群。
**逻辑：** 很多顾客想买多种水果但怕麻烦，直接提供一个打包价。

-   **组合方式：** 把 **1根香蕉（约150g） + 1/4个菠萝（约200g） + 1个苹果（约150g）** 装进一个透明饭盒或托盘，用保鲜膜包好。
-   **定价策略：** 单买这三样总价约 15元，**打包促销价：9.9元**（或12.8元）。
-   **话术/海报：** “3分钟营养果切，全家量一站购齐”。
-   **执行要点：** 菠萝必须提前去皮去芯切好。这个方案的**核心利润点在菠萝和苹果**（损耗低），香蕉是最低价引流品。

### 方案二：家庭“营养早餐”强关联组合（主打“高频复购”）
**适用场景：** 早上7-10点，或者周末早晨。
**逻辑：** 苹果和香蕉是早餐常见水果，菠萝是尝鲜品。利用“早餐场景”强行捆绑。

-   **组合方式：** **香蕉 + 苹果** 组合成“每日维C特价包”（例如：3根香蕉+2个苹果，总价只是原价的85折），同时**赠送菠萝丁试吃杯**（小杯，价值1-2元）。
-   **定价策略：** 香蕉和苹果按“份”卖（**Oversize大包装**），菠萝作为赠品消化库存。
-   **操作细节：** 将苹果和香蕉放在入口最显眼处，菠萝切好放在收银台旁边。**让菠萝的香味作为嗅觉营销**，吸引顾客顺手拿一杯。
-   **核心逻辑：** 用香蕉（必买）和苹果（高频）锁定客单，用免费菠萝零食增加顾客好感度并清理损耗。

### 方案三：**“菠萝当主角”**的满减叠加（主打“高价高毛利”）
**适用场景：** 周末大促，菠萝到货量大时。
**逻辑：** 目前市场菠萝价格低，毛利尚可，苹果价格稳定，香蕉毛利低。

-   **组合方式：** **买1个菠萝（不管大小），加2元得3根香蕉；加5元得2个苹果。**
-   **定价策略：** 降低菠萝的单价（例如：原价6.9元/个，现价5.9元/个），将苹果作为“加购”利润品。
-   **执行要点：** 这种玩法利用了“鸟笼效应”，顾客为了那2元钱的香蕉（感觉白送），会去买那个并不太便宜的菠萝。
-   **利润分配：** 菠萝让利5毛，香蕉亏5毛，苹果赚2-3元。最终客单价从原来的6.9元直接拉升至12-14元。

---

### 【给操作者的3个关键提醒（避坑指南）】

1.  **切莫把三种水果堆在一起论斤称：** 必须是**“定装”**（装好袋或盒）而不是“散装混称”，否则顾客会觉得是挑剩的，卖相会大打折扣。
2.  **菠萝是致命伤：** 菠萝切开后必须**盐水浸泡**，且**当天切当天卖**。如果下午3点后还有大量切好的菠萝，必须用“买菠萝送苹果”来强制清库存，**绝不允许隔夜**，否则会有食品安全风险。
3.  **香蕉的摆放玄机：** 香蕉不要和苹果放得太近（苹果释放乙烯催熟香蕉，易发黑）。**苹果可以放在菠萝旁边，香蕉最好单独放在架子的最底端**——因为香蕉是最便宜的引流品，放下面需要顾客弯腰拿，同时增加了看到中间层苹果和菠萝的机会（黄金视线区）。

**我的最终推荐：** 如果客群年轻，选**方案一**（果盒），客单价提升最直观；如果客群是家庭主妇，选**方案二**（早餐组合），复购率最高。
