要减少香蕉放坏，采购时核心是：**按销售速度分批要熟度，别一次全要“黄熟”的；到货时间尽量卡在你要开始卖之前，而不是越早越好。**

可以直接这样要求供应商：

1. **熟度分档采购**
   - **即卖型**：要“3-4号色”，也就是黄中带一点绿、已经能卖，适合1-2天内卖完。
   - **过渡型**：要“2-3号色”，偏绿、开始转黄，适合2-4天销售。
   - **储备型**：要“1-2号色”，明显绿、硬，适合后续催熟或错峰卖。
   - 不要全部要“全黄熟”或“带黑点”的，那种到店后很快坏。

2. **按销量定采购量**
   - 如果一天卖10箱，不要一次进30箱全熟蕉。
   - 可以拆成：今天卖10箱要3-4号色，明后天卖10箱要2-3号色，大后天卖10箱要1-2号色。
   - 这样到店后自然分批成熟，减少集中变黑。

3. **到货时间要求**
   - 最好要求**早上开店前到货**，当天就能上架卖，减少在仓库堆压。
   - 如果供应商只能下午到，就要求熟度再低一点，比如2-3号色，避免第二天直接过熟。
   - 不要提前太多天到货。香蕉不是越早到越安全，到店后温度、湿度、堆压都会加快成熟。

4. **明确运输和包装要求**
   - 要求**冷链或阴凉运输**，避免暴晒、高温车厢。
   - 要求**纸箱装、有透气孔**，不要用密封塑料袋闷着。
   - 要求**不堆压过重**，香蕉受压后容易黑斑、烂头。
   - 到货时抽检：看颜色、摸硬度、看有无黑斑和压伤。

5. **和供应商约定验收标准**
   - 例如：“我要2-3号色，青黄分明，硬身，无黑斑，无压伤，早上7点前到。”
   - 如果到货已经是4-5号色或带黑点，可以要求换货或折价，否则你只能马上促销。
   - 长期合作可以固定：每周哪几天要偏熟，哪几天要偏生。

6. **店内配合也很重要**
   - 香蕉不要放冷柜，低温会冻伤变黑。
   - 放在阴凉通风处，避免叠压。
   - 熟得快时拆开散放，或挂起来卖。
   - 已经黄熟的优先陈列、促销，别压在箱底。

简单说，采购时你就提一句：  
**“请按2-3号色、3-4号色分批给我，早上到货，不要全熟，不要黑斑和压伤。”**  
然后根据你每天销量，把不同熟度搭配着进，就能明显减少放坏。
