判断茶饮连锁的菠萝供应商是否能稳定按规格送货，建议从以下4个关键环节进行考察和验证：

1. **明确书面合同与违约条款**
   - 合同中明确标注菠萝的**具体规格**（如单果重量范围、直径、成熟度、糖度Brix值、允许的瑕疵比例等）。
   - 加入**按时交付率**和**规格达标率**的考核条款。例如：月交付批次中，规格达标率低于95%则需扣款或承担补货物流成本。
   - 设定**提前通知机制**：供应商如因天气、产地波动等原因无法按时交货，需至少提前X天书面通知，否则视为违约。

2. **要求提供历史供货记录或样品追溯**
   - 请供应商出示过去3-6个月向其他连锁客户（最好是茶饮或餐饮行业）的**连续批次交货记录**，查看规格稳定性（如：是否连续多批都达到合同底线规格）。
   - 要求供应商提供**产地合作模式**证明：是自有基地、订单种植还是市场采购？订单种植或自有基地的稳定性和规格控制力通常更强。
   - 进行**随机抽检**：对最近10个批次中的3-5个批次小样，逐颗测量并记录数据，对比其与合同的偏差率。

3. **小批量试单验证（作为基础）**
   - 先下1-2个小批量订单（如500-1000公斤），要求供应商按合同规格送货。
   - **收货时100%全检**（或严格按国标抽样）：实际数据与合同规格比对，统计达标率。同时记录到货准时率、包装破损率、物流时效。
   - 试单阶段建议至少覆盖**2个不同产区或种植周期**（如早季与晚季），检验其在不同气候或产季的供应稳定性。

4. **现场考察与沟通机制**
   - **实地考察供应商的分选/加工场所**：是否有分级设备（如重量分选机、色差仪或糖度计）、质检记录和溯源台账。若现场没有标准流程或设备，风险较大。
   - 建立**固定对接人+日报机制**：在合作初期，要求供应商每天（或每批）提供发货前的实拍照片、规格内检数据，并设立异常直接沟通渠道。
   - **设置容错与备选方案**：要求供应商提供明确的容错比例（例如每批次允许5%的次品率，超出部分由供应商补运），并询问其是否有备用产区或应急调货渠道。

**总结判断标准**：
- 能提供3个月以上连续、可核实的规格达标记录。
- 小批量试单中，连续两批以上的规格达标率≥95%，且交付准时。
- 有书面合同明确规格与违约条款，且供应商同意实地考察。

满足以上三条，该供应商的稳定送货能力基本可靠。
