批发商代理水果品牌，区域保护和串货是必须问清楚的核心条款。下面给你一套可以直接照着问的问题清单。

## 一、区域保护要问什么

1. **授权区域范围**：是省级、市级还是县级？边界怎么界定？线上渠道算不算在区域内？
2. **独家还是非独家**：这个区域内是只给你一家，还是可能再签第二家？如果是非独家，密度怎么控制？
3. **保护期限**：区域保护是永久的，还是每年续签？续签条件是什么？
4. **线上销售归属**：品牌方自己开网店、做直播、供货给电商平台，算不算侵入你的区域？
5. **商超/连锁系统**：区域内的大型连锁超市、生鲜平台，是归你供货，还是品牌方直营？
6. **保护力度**：如果品牌方在你区域内又放了一家，你有什么救济？能不能索赔、能不能解约？

## 二、串货问题要问什么

1. **串货定义**：合同里怎么界定串货？跨区销售、低价倾销、线上乱价，哪些算？
2. **处罚机制**：发现串货怎么处理？罚款、扣保证金、断货、取消授权？
3. **举报和举证**：谁负责查？你需要提供什么证据？处理时限多久？
4. **源头管控**：品牌方怎么防止其他区域经销商往你这边串？有没有追溯码、批次管理？
5. **反向问题**：如果你自己被认定串货，处罚标准是什么？有没有申诉机会？
6. **价格体系**：有没有统一指导价？低于多少算乱价？线上线下价格是否一致？

## 三、容易踩坑的地方

- 只写“区域保护”但不写**违约后果**，等于没有保护。
- 口头承诺“这片只给你”，合同里却是“非独家”。
- 品牌方自己搞电商、直播，把区域经销商的量抢走，合同里没约束。
- 保证金退还条件不写清楚，退出时被扣。
- 串货处罚只约束经销商，不约束品牌方直供渠道。

## 四、建议的提问话术

> “我想确认三点：第一，我签的这个区域是独家还是非独家，合同期内品牌方能不能再签别人；第二，品牌方自己的线上渠道和直营系统，在我区域内销售算不算串货；第三，如果出现跨区串货，处理流程和处罚标准是什么，写不写进合同。”

核心就一句：**所有承诺都要落到合同条款，并且写清楚违约后果。** 口头说的都不算数。
