账期通常不是供应商公开统一报价，而是按客户资质、采购量、合作历史、品类和区域单独谈。就都乐和洪九果品来说：

- **都乐**：一般是**现款现货或短账期**为主，常见可能给到 **7天、15天、30天**，大客户、商超/连锁渠道可能更长，但香蕉这种高周转、易损耗品类，**30天以上不普遍**。
- **洪九果品**：作为国内水果供应链企业，对部分稳定大客户可能提供 **15天、30天、45天** 等账期，具体看合同和授信；中小客户通常更短，甚至现款。

但这两家都没有对外统一公布的“标准账期”，所以不能直接说“都乐就是多少天、洪九就是多少天”。  
如果你想拿到可执行结果，建议这样问：

1. **直接联系都乐、洪九的区域销售或大客户部**，说明：  
   - 采购品类：香蕉  
   - 月采购量/柜量  
   - 配送区域  
   - 结算方式：月结、票到多少天  
   - 是否需要授信

2. **重点问清楚**：  
   - 首单是否现款  
   - 稳定合作后能否月结  
   - 账期起算日：发货日、到货日、对账日还是开票日  
   - 逾期是否停供、是否收利息  
   - 是否需要保证金或担保

3. **如果都乐、洪九给不了长账期**，可以同步找：  
   - 一级香蕉批发商/进口商  
   - 大型农批市场档口  
   - 区域水果供应链公司  
   - 有自有催熟库的经销商  
   这些渠道比品牌方更容易谈 **15—30天账期**，但通常要求押金、担保或较高采购量。

简单判断：  
**都乐：短账期为主，7—30天较常见。**  
**洪九：可谈空间相对大，15—45天都有可能，但非标准。**  
最终必须以你拿到的最新合同报价为准，不能按公开信息直接认定。
