# 都乐与鑫荣懋进口苹果的产地溯源怎么做

两家都是国内主流的进口水果供应链企业，溯源做法有共性，也有各自侧重。下面按“可执行的核验路径”给你梳理。

## 一、先明确：溯源要分辨"品牌商"和"进口商"

- **都乐（Dole）**：自有全球种植/采购体系，很多果品是都乐品牌直接进口，包装上有都乐标识和批次码。
- **鑫荣懋**：国内大型水果供应链企业，既做自有品牌，也代理/分销多个海外品牌。你拿到的货可能是“鑫荣懋进口”，也可能是“鑫荣懋分销的某海外品牌”。

采购时先问清楚：**这批货的进口商、境外供应商、原产国分别是谁**，这三者决定了溯源要追哪条链。

## 二、通用溯源核验路径

**1. 看包装与标签信息**
- 原产国、产区（如新西兰、智利、美国华盛顿州等）
- 境外果园/包装厂注册号（Packhouse code）
- 批次号 / Lot No. / 生产日期
- 中文标签（进口食品必须贴，含进口商、境内责任人信息）

**2. 查海关与检验检疫凭证**
- 索要**入境货物检验检疫证明**（海关出具）
- 索要**报关单**，核对原产国、数量、进口商
- 可要求供应商提供**海关进口货物报关单编号**，用于交叉核对

**3. 用官方溯源平台核验**
- 海关总署“进口食品化妆品进出口商备案系统”可查企业备案
- 部分口岸/地方有进口食品追溯平台，可扫码查验
- 关注海关总署发布的**准入水果种类和来源国名单**，先确认该产地苹果是否在准入范围内（如新西兰、智利、美国、法国、南非、澳大利亚等是常见准入国）

**4. 向供应商要“一批一档”**
- 检疫证明
- 报关单
- 境外供应商发票/装箱单
- 果园/包装厂信息
- 冷链运输记录（如需要）

## 三、针对都乐和鑫荣懋的具体做法

**都乐**
- 通过都乐中国或其授权经销商采购，索要**都乐官方批次证明**
- 都乐有自有追溯码/批次体系，可让供应商提供对应批次的进口凭证
- 确认是“都乐品牌直接进口”还是“国内分销”，两者溯源责任方不同

**鑫荣懋**
- 明确是鑫荣懋**自营进口**还是**代理分销**
- 自营进口：直接向鑫荣懋索取报关单、检疫证明、原产国信息
- 代理分销：要追到实际进口商，别只停在鑫荣懋这一层
- 鑫荣懋部分产品有自有追溯体系，可要求提供对应批次的溯源凭证

## 四、给超市采购的实操建议

1. **合同里写明溯源条款**：供应商须随货提供检疫证明、报关单，并保证批次一致。
2. **建立批次档案**：每批货留存标签照片、凭证扫描件，做到“一批一档”。
3. **抽检核对**：实物标签的批次号要与凭证上的批次号对得上。
4. **优先选可扫码溯源的产品**：能扫码查到原产国、进口商、批次的，风险更低。
5. **定期核验供应商资质**：确认其进口商备案、食品经营许可在有效期内。
6. **关注准入名单变化**：海关总署会调整准入水果来源国，采购前先确认合规。

## 五、需要提醒的点

- 我无法核验都乐、鑫荣懋当前具体批次的真实凭证，以上是通用方法，**具体批次信息必须向实际供应商索取并核对**。
- 进口水果溯源的关键不是“品牌名”，而是**这一批货的报关单+检疫证明+批次号能否对应上**。
- 如果供应商只能给品牌宣传资料、给不出报关单和检疫证明，溯源就落不了地，建议谨慎。

如果你能告诉我具体是哪个原产国、哪家供应商供货，我可以帮你把核验清单再细化到那一批。
