小商家采购水果时，**现金结算**和**月结账期**各有以下主要风险：

### 现金结算的风险
1. **资金压力**：需要一次性支付全部货款，可能占用流动资金，影响其他经营支出（如租金、人工）。
2. **质量保障缺失**：若水果交付后出现腐烂、数量短缺或品质问题，因已付款，追索难度较高，尤其对方是小供应商时易扯皮。
3. **账务记录依赖自管**：缺少正式账单或凭证，若漏记或遗失，可能导致成本核算不清。
4. **价格波动风险**：无法锁定价格，下次采购可能面临涨价（但现金结算通常能争取折扣，需权衡）。

### 月结账期的风险
1. **信用风险**：若供应商经营不善、跑路或违约，你已收到水果但需按期付款，可能面临损失（尤其对方规模小、无合同）。
2. **过度依赖承诺**：若供应商临时涨价或中断供货，月结可能失去谈判筹码（因为欠款未清）。
3. **账期管理负担**：需记录应付账款，若忘记还款或延迟，可能影响合作关系甚至引发法律纠纷。
4. **额外隐性成本**：部分供应商可能将账期成本隐含在单价中（即月结价高于现金价），长期增加采购成本。

### 建议
- **小额试水**：对陌生或小规模供应商，优先现金结算（可要求折扣），积累信任后考虑月结。
- **签订简单协议**：无论哪种方式，至少保留采购单、收据或微信记录（注明品名、价格、结算方式）。
- **分散采购**：不要将所有货物依赖单一供应商的月结，以降低信用风险。
- **评估自身现金流**：若资金紧张，月结可能缓解压力；若现金流充裕且追求价格优势，现金更稳妥。

若供应商提出月结，建议先小批量测试其信誉和品质，逐步扩大规模。
