在甜品店采购菠萝时，**鲜果切配的损耗通常更低**，但前提是你要有稳定的销量和管理能力。以下是详细对比：

**1. 直接买成品果丁（预切菠萝）**
- **损耗率**：表面看似低（无果皮、果芯废料），但**实际总成本更高**。
- **原因**：供应商需要承担去皮、切丁的损耗（通常20%~30%），这部分成本已转嫁到单价上。且预切果丁保质期短（一般24~48小时），若当天卖不完，**损耗会翻倍**，整盒报废。

**2. 鲜果切配（自己买整果处理）**
- **损耗率**：果皮、果芯等废料约占整果的**30%~40%**（视品种，去皮去核后得肉率约60%~70%）。
- **优势**：  
  - 新鲜度可控，当天切当天用，卖不完的整果可冷藏多放2~3天（带皮放置）。  
  - 果皮可回收做装饰或果酱，减少浪费。  
  - 采购单价低于成品果丁，且可控制切丁大小，减少边角料。

**3. 关键决策点**
- **销量稳定（日均能用完一整箱）**：选鲜果，损耗低且成本省20%~30%。  
- **销量波动大或人少**：可短期买成品，但建议按“半日销售”小批量采购，避免隔夜剩货。  
- **品种选择**：选果肉紧实、皮薄的品种（如都乐金菠萝），得肉率更高。

**4. 实操建议**
- 如果启动阶段，可以先试切2~3个整果，统计实际得肉率和耗时。若员工切配效率低（超过30分钟/个），损失的人工成本可能抵消省下的原料费。  
- 长期方案：**鲜果为主，成品备用**。旺季用鲜果，淡季或突发订单用成品，平衡损耗和应急。

**总结**：  
**损耗控制力上，鲜果更优（可预测、可管理）；成品果丁损耗是“隐性”的，且风险在保质期。** 只要你的销量不至于天天剩下整盒果丁，自己切更划算。
