大型超市水果供应商必须同时具备以下食品安全保障能力和物流能力，才能满足超市的准入标准和消费者对品质、安全的需求：

### 一、食品安全能力（核心要求）
1. **供应链源头把控**
   - 建立自有或签约的标准化种植基地，确保农残、重金属等指标符合国家标准（如中国GB 2763）。
   - 供应商需提供每批次的产地证明、合格检测报告（如农残、兽残检测，部分超市要求每批次第三方检测）。
2. **分选与加工安全**
   - 具备符合食品卫生标准的分选厂，配备清洗、打蜡（仅允许食用蜡）、分级、包装设备，避免二次污染。
   - 包装材料需为食品级，且具备追溯标识（如二维码、批次号）。
3. **冷链与温控管理**
   - 根据水果种类（如草莓、蓝莓需0-4℃；香蕉、芒果需12-15℃）制定全程温控标准。
   - 仓库及运输车辆配备实时温度监控设备，记录至少保存6个月，超市可随时抽查。
4. **质量追溯体系**
   - 实现从产地、采收、加工、物流到超市的全程追溯。超市通常要求供应商可在2小时内提供批次产品的溯源信息。
5. **资质与认证**
   - 持有食品经营许可证、生产许可证（如适用）、基地GAP（全球良好农业规范）认证、ISO 22000或HACCP体系认证。

### 二、物流能力（供应链效率保障）
1. **冷链运输与配送时效**
   - 拥有专业冷库（预冷、分拣库、暂存库）和冷藏车（温度均匀性需满足水果特性）。
   - 运输距离在500公里内的订单，通常需在24小时内送达超市中央仓或门店；进口水果需提前完成清关、核酸检测及静置（如有要求）。
2. **存储与分拣能力**
   - 具备不同温区的仓储空间（如高温区存放热带水果，低温区存放鲜果），并配备杀虫、防霉设备。
   - 按超市要求进行预包装（如真空包装鲜切水果）或散货分拣，每日处理量需匹配超市订单峰值（如节假日、促销期）。
3. **应急补货与短保鲜度管理**
   - 建立区域配送中心（RDC），对短货架期水果（如樱桃、荔枝）支持“每日配送”，甚至按小时补货。
   - 制定突发品质问题的冻结/召回流程，能在24-48小时内启动逆向物流。
4. **信息化系统对接**
   - 与超市ERP/WMS系统实时对接，实现订单、库存、在途信息的自动同步。
   - 物流环节支持全程可视化，超市可通过平台实时查看温度、位置、预计到货时间。

### 三、合规与特殊要求
- **进口水果**还需提供：动物检疫许可证、原产地证明、核酸阴性证明（近期参考）、中文标签（符合GB 7718）。
- **有机/绿色水果**需额外提供认证证书。
- **社区团购/线上超市**（如盒马、美团优选）可能要求更短的链路：产地直发，24-48小时到消费者手中，需多地分仓支持。

建议供应商优先通过“良好农业规范（GAP）”和“食品安全管理体系（ISO 22000）”认证，并与超市签订详细的质量协议（明确退货、索赔条款）。若需更具体的合规清单，可咨询当地市场监管部门或超市的供应商准入部门。
