针对社区超市销售小包装香蕉，采购时需重点关注以下包装与损耗问题：

### 一、包装要求
1. **透气性**：包装需有透气孔（如打孔塑料薄膜或网袋），防止香蕉因缺氧加速成熟或腐烂。避免完全密封。
2. **缓冲保护**：内衬泡沫网或纸垫，减少运输碰撞导致的擦伤、压伤。
3. **适当重量**：建议每份300-500克（约2-3根），兼顾家庭单次食用量与单价接受度。
4. **标签规范**：标明产地、成熟度（如“七分熟”）、保质期及储存提示（如“请勿冷藏”）。
5. **环保材质**：优先可降解或可重复利用包装，符合社区环保趋势。

### 二、损耗控制
1. **成熟度选择**：采购七至八分熟的香蕉（果皮微黄、棱角渐平），生度不足易转黑，过熟则货架期短。
2. **数量配比**：根据历史销售数据，避免一次性采购过多；建议每批小包装与整串香蕉混合供应，减少滞销损耗。
3. **到货检查**：
   - 挑出已开裂、软烂或带黑斑的香蕉，禁止包装入袋。
   - 抽样切开果肉，确认无内部褐变（因冷害或碰撞引起）。
4. **储存与陈列**：
   - 到货后立即拆开原箱纸板，放置于16-20℃通风处，避免堆放挤压。
   - 陈列时托盘倾斜摆放松散，不叠放，方便顾客挑选。

### 三、变通策略
- **分程度包装**：将七分熟与八分熟香蕉分开包装（如不同颜色标签），满足不同消费时效需求。
- **临期处理**：设定“当日鲜”或“明日优惠”专区，降价促销即将过熟的包装。
- **预防冷害**：冬天气温低于12℃时，运输车辆需保温；夏天运输中避免阳光直射，降低物理损耗。

最终，建议与产地直供或信誉良好的供应商建立长约，并要求其提供香蕉成熟度分级标准和包装样品，在初期试销3-5天，根据销售反馈调整采购细节。
